Dataset,Model,Fold,test_accuracy,test_precision,test_recall,test_f1_score,test_mcc,test_aucroc,test_aucpr,test_sensitivity,test_specificity,test_ppv,test_npv,test_ARI,test_NMI,Inference Time (ms),Stop Epoch,Early Stopping
mpid,tagconv,1,0.8486842105263158,0.8471310792804797,0.8486842105263158,0.8476862644415917,0.6496890634800849,0.9291328181758141,0.9660647088830742,0.8996763754045307,0.7414965986394558,0.879746835443038,0.7785714285714286,0.4756062122579506,0.3399833330437423,4.369258880615234,135.0,1.0
mpid,tagconv,2,0.875,0.8757352941176472,0.875,0.8753264350825326,0.7154921686937217,0.9433767034321819,0.9729988009816606,0.9029126213592233,0.8163265306122449,0.9117647058823529,0.8,0.5551750703224606,0.41799442616198146,2.7074813842773438,114.0,1.0
mpid,tagconv,3,0.7807017543859649,0.7767156728789784,0.7807017543859649,0.778124388986651,0.4880009331773839,0.8557779098694495,0.9265650243545073,0.8576051779935275,0.6190476190476191,0.8255451713395638,0.674074074074074,0.2993391044708806,0.18754372204534572,11.693477630615234,55.0,1.0
mpid,tagconv,4,0.8157894736842105,0.8140297552391617,0.8157894736842105,0.8147562415654521,0.5740693966087858,0.8854104748695595,0.9417831311544437,0.8737864077669902,0.6938775510204082,0.8571428571428571,0.723404255319149,0.3866134616395593,0.26139402844064197,2.83050537109375,91.0,1.0
mpid,tagconv,5,0.8530701754385965,0.8604150722672904,0.8530701754385965,0.8551994341783137,0.6776047906980668,0.9301455209915682,0.9649961406259318,0.86084142394822,0.8367346938775511,0.9172413793103448,0.7409638554216867,0.4930007996138416,0.37195117507864334,11.628150939941406,119.0,1.0
Mean,,,0.8346491228070176,0.8348053747567115,0.8346491228070176,0.8342185528509083,0.6209712705316086,0.9087686854677146,0.9544815611999236,0.8789644012944985,0.7414965986394557,0.8782881898236313,0.7434027226772677,0.4419469296609385,0.31577333695407095,6.645774841308594,102.8,1.0
Std,,,0.0368460210951574,0.03965185281946229,0.0368460210951574,0.03819938284362631,0.09061893265374711,0.03682054523716796,0.019546080265306954,0.02129538365872117,0.08934643222152176,0.03830504809634092,0.04912341081888922,0.09994853834410238,0.09163946723424195,4.624725301051452,31.019348800385863,0.0
