Dataset,Model,Fold,train_accuracy,train_precision,train_recall,train_f1,train_mcc,train_aucroc,train_aucpr,train_sensitivity,train_specificity,train_ppv,train_npv,train_ARI,train_NMI,test_accuracy,test_precision,test_recall,test_f1,test_mcc,test_aucroc,test_aucpr,test_sensitivity,test_specificity,test_ppv,test_npv,test_ARI,test_NMI,Inference Time (ms),Stop Epoch,Early Stopping
kaggle,chebnet,1,0.9994586233565352,0.9994586233565352,0.9994586233565352,0.9994586233565352,0.9989149567795313,0.9999656750635179,0.9999666854141427,0.9994325551232166,0.9994824016563147,0.9994325551232166,0.9994824016563147,0.9978355727922337,0.9933353247513367,0.96815144766147,0.9681821574110024,0.96815144766147,0.9681559819404408,0.9362091088486074,0.9941233733697908,0.9938993593819482,0.9701213818860878,0.9663543441226575,0.9633750579508576,0.9725675096442349,0.876635331233033,0.7964415443548735,58.38775634765625,81.0,1.0
kaggle,chebnet,2,0.9996133023975251,0.9996133116228405,0.9996133023975251,0.9996133010183735,0.9992249756135716,0.9999382852447357,0.9999271010732373,0.9995136186770428,0.9997042295178941,0.9996756932057727,0.9995564098772733,0.9984537412539365,0.9950626973892898,0.967706013363029,0.9677151970865653,0.967706013363029,0.9677082491685817,0.9352896272400325,0.9933775611323462,0.9923817801967666,0.9677871148459384,0.9676320272572402,0.9646347138203816,0.9705254164886801,0.8749674348428602,0.7940388489401629,37.17684745788574,84.0,1.0
kaggle,chebnet,3,0.99984532095901,0.9998453318421008,0.99984532095901,0.9998453204073494,0.9996899974536056,0.9999690916729294,0.9999711128273379,0.9997568093385214,0.9999260573794735,0.9999189233014432,0.9997782049386367,0.9993813529417684,0.9978449986575968,0.967260579064588,0.9672988026319138,0.967260579064588,0.9672658061456058,0.9344327598764058,0.9938482917300936,0.9941260360759983,0.9696545284780579,0.965076660988075,0.9620194534506716,0.9721149721149721,0.873301280107036,0.7921324416324098,39.9017333984375,85.0,1.0
kaggle,chebnet,4,0.9998066586752252,0.9998066623597582,0.9998066586752252,0.9998066590193911,0.9996125026145943,0.9999599806766065,0.9999628250413249,0.9998378728923476,0.9997781885397412,0.9997568290508227,0.9998521147589471,0.9992267510055621,0.9973377831439253,0.9708240534521159,0.9708540621597859,0.9708240534521159,0.970828207232152,0.9415640705597641,0.9943047065504226,0.9941899092806878,0.972922502334267,0.9689097103918228,0.9661566991191469,0.9751393056150879,0.8866756376613204,0.8098155952826949,37.79268264770508,84.0,1.0
kaggle,chebnet,5,0.9995359808205406,0.9995359808205406,0.9995359808205406,0.9995359808205406,0.9990699957565252,0.9999599057565013,0.9999629260370901,0.9995136186770428,0.9995563770794824,0.9995136186770428,0.9995563770794824,0.9981447048064389,0.994184225327133,0.9723830734966592,0.9723830612714857,0.9723830734966592,0.9723813271154473,0.9446462239334154,0.9944078994459795,0.9934886141150445,0.9696545284780579,0.9748722316865417,0.9723782771535581,0.9723874256584537,0.8925587117093765,0.8175009422766906,48.035621643066406,88.0,1.0
Mean,,,0.9996519772417674,0.9996519820003551,0.9996519772417674,0.999651976924438,0.9993024856435657,0.9999585876828581,0.9999581300786267,0.9996108949416342,0.999689450834581,0.9996595238716596,0.9996451016621307,0.998608424559988,0.9955530058538562,0.9692650334075724,0.9692866561121505,0.9692650334075724,0.9692679143204455,0.938428358091645,0.9940123664457265,0.993617139810089,0.9700280112044817,0.9685689948892675,0.9657128402989231,0.9725469259042857,0.8808276791107253,0.8019858744973662,44.258928298950195,84.4,1.0
Std,,,0.00016855620509396787,0.00016855964214743962,0.00016855620509396787,0.00016855620496841354,0.0003378290610766573,1.2004494111150967e-05,1.7674760236434203e-05,0.0001757415968602361,0.00017653146560903641,0.00019353355524017994,0.0001602969748856345,0.0006737968289072225,0.0019666426328122837,0.002227171492204888,0.002218414351385998,0.002227171492204888,0.0022251538907345344,0.004450731736697389,0.0004135607351100202,0.0007431891399841615,0.001849823786756198,0.0038021659490060557,0.00402783280862402,0.001659772648379451,0.008372285688649592,0.01110187829753637,9.011666659226625,2.5099800796022262,0.0
