Dataset,Model,Fold,test_accuracy,test_precision,test_recall,test_f1_score,test_mcc,test_aucroc,test_aucpr,test_sensitivity,test_specificity,test_ppv,test_npv,test_ARI,test_NMI,Inference Time (ms),Stop Epoch,Early Stopping
welfake,tagconv,1,0.841886269070735,0.8481007234405292,0.841886269070735,0.8415360664757291,0.6902872382158322,0.9434270311898344,0.9376245748301122,0.784366576819407,0.9028571428571428,0.8953846153846153,0.797979797979798,0.46680775618295256,0.38420799514202764,10.434150695800781,94.0,1.0
welfake,tagconv,2,0.8599167822468793,0.8625811140038533,0.8599167822468793,0.8598542567666855,0.7225865037177177,0.946907970735464,0.9465050956680784,0.8247978436657682,0.8971428571428571,0.8947368421052632,0.8284960422163589,0.5174914637150567,0.4221134873953126,13.622045516967773,103.0,1.0
welfake,tagconv,3,0.4854368932038835,0.23564897728343862,0.4854368932038835,0.31727901516593693,0.0,0.6166576819407008,0.6658440441252051,0.0,1.0,0.0,0.4854368932038835,0.0,0.0,4.354238510131836,12.0,1.0
welfake,tagconv,4,0.840499306518724,0.8464391618683421,0.840499306518724,0.8401675669465214,0.6872304916214408,0.9405467847516364,0.9321402169393171,0.784366576819407,0.9,0.8926380368098159,0.7974683544303798,0.4630165860026009,0.3800793607675159,11.082172393798828,94.0,1.0
welfake,tagconv,5,0.8807212205270458,0.8827715129952362,0.8807212205270458,0.880404951036019,0.7630174816388555,0.943581055063535,0.9383180697158532,0.921832884097035,0.8371428571428572,0.8571428571428571,0.9099378881987578,0.5792132493755897,0.4790575879671893,5.309104919433594,113.0,1.0
Mean,,,0.7816920943134535,0.7351082979182799,0.7816920943134535,0.7478483712781785,0.5726243430387693,0.878224104736234,0.8840864002557132,0.6630727762803235,0.9074285714285715,0.7079804702885103,0.7638637952058356,0.40530581105523994,0.33309168625440905,8.960342407226562,83.2,1.0
Std,,,0.16641412252829316,0.27958684088755653,0.16641412252829316,0.24125026101765698,0.3215649084152663,0.14623742339185355,0.12210896665829996,0.3749005433313843,0.058505189025052654,0.39610050392828194,0.16227266852560823,0.23141696191102668,0.19039545397897856,3.9671613765340497,40.56722815278363,0.0
