Dataset,Model,Fold,test_accuracy,test_precision,test_recall,test_f1_score,test_mcc,test_aucroc,test_aucpr,test_sensitivity,test_specificity,test_ppv,test_npv,test_ARI,test_NMI,Inference Time (ms),Stop Epoch,Early Stopping
mpid,sgc,1,0.7598684210526315,0.7505399522301086,0.7598684210526315,0.7444643783581791,0.4127766291288961,0.8289082623340599,0.9080357590195641,0.9029126213592233,0.45918367346938777,0.7782426778242678,0.6923076923076923,0.237103036815892,0.14060088196049636,10.186433792114258,500.0,0.0
mpid,sgc,2,0.7697368421052632,0.763849898375125,0.7697368421052632,0.7654867017831699,0.4574734414023675,0.8308648702199327,0.9083335656174425,0.8592233009708737,0.5816326530612245,0.8119266055045872,0.6627906976744186,0.27200503567435225,0.1652586365718243,3.5097599029541016,500.0,0.0
mpid,sgc,3,0.7828947368421053,0.7759369781680995,0.7828947368421053,0.7737232322324907,0.477977326749265,0.832227065583515,0.9096215102978835,0.8980582524271845,0.5408163265306123,0.8043478260869565,0.7162162162162162,0.2951959197458062,0.1849465150952537,1.4734268188476562,500.0,0.0
mpid,sgc,4,0.7532894736842105,0.7502175883831272,0.7532894736842105,0.7515393582075646,0.42796503247548795,0.8273726966514761,0.9080336764429076,0.8300970873786407,0.5918367346938775,0.8104265402843602,0.6236559139784946,0.2403154398345488,0.1430352972626866,10.75434684753418,500.0,0.0
mpid,sgc,5,0.7697368421052632,0.7654683827949937,0.7697368421052632,0.7670306084359836,0.4623059969701779,0.8279175747969091,0.9090727157361838,0.8495145631067961,0.6020408163265306,0.8177570093457944,0.6555555555555556,0.27404234908856495,0.16791735025263502,6.371736526489258,500.0,0.0
Mean,,,0.7671052631578947,0.7612025599902907,0.7671052631578947,0.7604488558034777,0.44769968534523896,0.8294580939171785,0.9086194454227963,0.8679611650485436,0.5551020408163265,0.8045401318091934,0.6701052151464755,0.26373235623183283,0.16035173622857918,6.459140777587891,500.0,0.0
Std,,,0.011251731168741523,0.010916381374122628,0.011251731168741523,0.012039425817087128,0.026620868670646766,0.0020414834888185327,0.0007026966573687868,0.03153472188138201,0.05844008597255653,0.015455490268726939,0.0355031926409529,0.024607730660180658,0.018548413926928343,4.059105170003095,0.0,0.0
