Dataset,Model,Fold,test_accuracy,test_precision,test_recall,test_f1_score,test_mcc,test_aucroc,test_aucpr,test_sensitivity,test_specificity,test_ppv,test_npv,test_ARI,test_NMI,Inference Time (ms),Stop Epoch,Early Stopping
welfake,gin,1,0.6324549237170597,0.7545302933539038,0.6324549237170597,0.5759502378901289,0.3564569106779589,0.8273422775637657,0.7491033435471273,0.9824561403508771,0.2624821683309558,0.5847389558232932,0.934010152284264,0.06949461692382224,0.13476938329371868,22.43947982788086,63.0,1.0
welfake,gin,2,0.6692094313453537,0.7502891993542825,0.6692094313453537,0.6355083234269743,0.4044949920965316,0.8410666466451436,0.7713431518729769,0.9595141700404858,0.362339514978602,0.6139896373056994,0.8943661971830986,0.11388811944060648,0.15266969556181148,13.078689575195312,75.0,1.0
welfake,gin,3,0.8245492371705964,0.8385528773112038,0.8245492371705964,0.8220722595606389,0.6616449224924226,0.8504449976031927,0.7800928889424473,0.9311740890688259,0.7118402282453637,0.773542600896861,0.9072727272727272,0.4209248053588825,0.35957171495119644,11.549234390258789,74.0,1.0
welfake,gin,4,0.6400832177531207,0.7608953987853977,0.6400832177531207,0.586927850624008,0.37215309179092915,0.8476102194474446,0.7893246006230552,0.9838056680161943,0.2767475035663338,0.5898058252427184,0.941747572815534,0.07781798853032017,0.14653346705231943,7.823467254638672,53.0,1.0
welfake,gin,5,0.6345353675450763,0.7497929655413866,0.6345353675450763,0.5805606498629139,0.3562926860525029,0.8316228407076068,0.7571416312118038,0.9784075573549258,0.2710413694721826,0.5865695792880259,0.9223300970873787,0.0717193518648101,0.13155150688994977,10.96963882446289,66.0,1.0
Mean,,,0.6801664355062413,0.7708121468692348,0.6801664355062413,0.6402038642729327,0.43020852062206905,0.8396173963934308,0.7694011232394822,0.9670715249662617,0.3768901569186876,0.6297293197113196,0.9199453493286004,0.1507689764236883,0.18501915354979917,13.172101974487305,66.2,1.0
Std,,,0.08205439723524868,0.0381288754281415,0.08205439723524868,0.10442980473406796,0.1308599222892179,0.009972637032383186,0.016411316867715454,0.022310104672264845,0.19152348168021702,0.08125696723104571,0.019324408317478777,0.15208597963742407,0.09795414850737412,5.522351280103345,8.983317872590282,0.0
