pretrain,neighbours,dataset_size,dataset,model,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f1_score_mean,test_f1_score_std,test_mcc_mean,test_mcc_std,test_aucroc_mean,test_aucroc_std,test_aucpr_mean,test_aucpr_std,test_sensitivity_mean,test_sensitivity_std,test_specificity_mean,test_specificity_std,test_ppv_mean,test_ppv_std,test_npv_mean,test_npv_std,test_ARI_mean,test_ARI_std,test_NMI_mean,test_NMI_std,Inference Time (ms)_mean,Inference Time (ms)_std
False,2,0.1,kaggle,graphsage,0.9256124721603562,0.0129482778207114,0.9259206039363684,0.0129855230869219,0.9256124721603562,0.0129482778207114,0.925600327724534,0.0130003063376057,0.8512108522412664,0.0260818549930696,0.97652614833963,0.0047419724221402,0.9698153409939324,0.0072202010826632,0.9242990654205606,0.0279203163482049,0.9268085106382978,0.0076121463063822,0.920038214003602,0.0074096112002375,0.931277333492164,0.023365965913015,0.7245068469488467,0.0440050861300161,0.6203976399523559,0.0472359597842842,30.5452823638916,17.843883739945213
False,2,0.1,kaggle,gat,0.7959910913140311,0.0197076363524534,0.7974459214245012,0.0206290045504201,0.7959910913140311,0.0197076363524534,0.7955510616291492,0.0192192446054799,0.5922114255849185,0.0398217974908013,0.8871505269437264,0.0097851529403852,0.8601166417010256,0.0158337624673068,0.7654205607476635,0.021002060798359,0.8238297872340425,0.052082046913342,0.8009369359636839,0.0438960059902459,0.7942668698866923,0.0082877917147282,0.3502388510389365,0.0470249005455965,0.2733865538499987,0.0410563595349841,18.010616302490234,10.501906788505126
False,2,0.1,kaggle,gcn,0.8160356347438753,0.0157956554356321,0.8258586116778058,0.010659116014437,0.8160356347438753,0.0157956554356321,0.8135254998901098,0.0171333231051428,0.6393724798660122,0.0271501201889832,0.9069397494531716,0.0083305935843075,0.8825596732069183,0.0076561256407959,0.7121495327102803,0.0434101837850227,0.9106382978723404,0.010423360607588,0.879182899470208,0.0069660256289454,0.7772994730072782,0.0243033454231128,0.3989751787426451,0.039938156597813,0.3301514944411316,0.0257218179694166,19.38695907592773,4.230973587005289
False,2,0.1,kaggle,sgc,0.8213808463251671,0.0036596161971391,0.8261121260554664,0.0032094227522399,0.8213808463251671,0.0036596161971391,0.8200159145166557,0.0038093102507025,0.645571166462531,0.0069407179643474,0.9003002585006958,0.0032185411355649,0.875745515330882,0.0039856888044111,0.7429906542056075,0.0087421901560138,0.8927659574468085,0.0035602554320599,0.8632078773829732,0.0034834302179593,0.7923313142082897,0.0053473743008492,0.4118763026804392,0.0094467300381813,0.3317322155074432,0.0074044769815873,18.927335739135746,11.982687835929074
False,2,0.1,kaggle,gin,0.8129175946547884,0.0095794268007155,0.8235800691672466,0.0065968181136475,0.8129175946547884,0.0095794268007155,0.8102298621726833,0.0103765953978576,0.6338535663421438,0.0166047170356334,0.8997892225094454,0.0190865302168952,0.877239530921476,0.0169916372751529,0.702803738317757,0.0248587590248044,0.913191489361702,0.0048518103195708,0.8806161806695195,0.0028625564188667,0.7716408016715596,0.0138694499312414,0.3906074704858741,0.023964881883775,0.3245617331441461,0.015733270868093,16.306114196777344,6.222658027731574
False,2,0.1,kaggle,tagconv,0.8378619153674833,0.0251680233167334,0.8503934863836683,0.0197985456456332,0.8378619153674833,0.0251680233167334,0.835321922295344,0.0263891150433059,0.6858522689298416,0.0456930239329816,0.9517518393318752,0.0070499087915461,0.9314085000957804,0.0101101843106598,0.7280373831775702,0.0546349416936972,0.937872340425532,0.006453511016214,0.914203216374269,0.0082364910026123,0.7922859024773341,0.0342046124869598,0.4574225648241916,0.0705818676965279,0.3908547452147487,0.0538812184726441,20.84970474243164,5.074090960451234
False,2,0.1,kaggle,feastconv,0.8133630289532293,0.0074535414390563,0.8248610578336836,0.0045054355078296,0.8133630289532293,0.0074535414390563,0.810541660128461,0.0082259779584676,0.6355160654372561,0.012235083455958,0.9106919864784252,0.0061738959055737,0.8839880345262813,0.0092375127176877,0.7,0.0222637929898534,0.916595744680851,0.0071205108641198,0.8844513233366506,0.0061372937505273,0.770595879886301,0.0118024809750766,0.3916097660214169,0.0187154216167778,0.3271952088778955,0.0110534608455196,12.743282318115234,4.84515282771326
False,2,0.1,kaggle,jknet,0.8587973273942093,0.0092635342285458,0.8666050044524003,0.009787272080352,0.8587973273942093,0.0092635342285458,0.8578927592386607,0.0097911796346996,0.7244974928265162,0.0169398973825877,,,,,0.8355140186915888,0.0851057615805511,0.8800000000000001,0.077442132194569,0.8714101919790108,0.0551237704009725,0.8622292166622103,0.0644831583522237,0.514135072473738,0.02671078623176,0.4344483670758004,0.0284373848733111,19.524288177490234,5.245562417937572
False,2,0.1,kaggle,chebnet,0.8948775055679287,0.0134000970659165,0.9001401650968409,0.0127508816130445,0.8948775055679287,0.0134000970659165,0.8948233162304382,0.0134243458941583,0.7950831442601844,0.026015514684256,0.960978325710877,0.0064246808311285,0.951228087665406,0.0118096512509547,0.9457943925233646,0.0142504211981092,0.8485106382978722,0.0216143405943834,0.8507123188011334,0.0187742967313178,0.9451510549150598,0.0139290195964876,0.6234489643645353,0.0425887080974045,0.5344640353854251,0.0413789156309186,22.76482582092285,7.373442943440404
False,2,0.1,kaggle,appnp,0.7175946547884187,0.0096310682897281,0.754254753719932,0.0082967222301852,0.7175946547884187,0.0096310682897281,0.7027646267698021,0.011227722628994,0.4633643281560596,0.0184882660534241,,,,,0.494392523364486,0.0185155259403354,0.9208510638297872,0.0038060731531911,0.8503556267779141,0.008998502684632,0.6667416182543654,0.0084797390689044,0.1878842018540389,0.0166712931470659,0.1796026173430185,0.0138664396788802,27.09174156188965,8.69741174909037
