Dataset,Model,Fold,test_accuracy,test_precision,test_recall,test_f1_score,test_mcc,test_aucroc,test_aucpr,test_sensitivity,test_specificity,test_ppv,test_npv,test_ARI,test_NMI,Inference Time (ms),Stop Epoch,Early Stopping
welfake,jknet,1,0.8474341192787794,0.8570382208931935,0.8474341192787794,0.8459654705555805,0.7034482997283452,,,0.9338731443994602,0.7560627674750356,0.8018539976825029,0.9153713298791019,0.4824814804715812,0.40751860959371167,9.881734848022461,344.0,1.0
welfake,jknet,2,0.8294036061026352,0.841500216413595,0.8294036061026352,0.8273034083823951,0.6695983292574562,,,0.9284750337381916,0.724679029957204,0.7809307604994324,0.9055258467023173,0.43363208639369144,0.3671862077381562,26.901960372924805,425.0,1.0
welfake,jknet,3,0.840499306518724,0.8489001423895104,0.840499306518724,0.8390947881621678,0.6883836812318046,,,0.9230769230769231,0.7532097004279601,0.7981330221703618,0.9025641025641026,0.46338555541625737,0.38633202312499854,13.725519180297852,300.0,1.0
welfake,jknet,4,0.840499306518724,0.8530987963749265,0.840499306518724,0.8385357070241904,0.6923659553021516,,,0.9392712550607287,0.7360912981455064,0.7900113507377979,0.9197860962566845,0.4633849974274187,0.3969049081484007,37.19043731689453,311.0,1.0
welfake,jknet,5,0.8307905686546463,0.8408048807716282,0.8307905686546463,0.82901658949591,0.6704158895173831,,,0.921727395411606,0.7346647646219686,0.7859608745684695,0.8987783595113438,0.4372976044901788,0.36579504038351607,16.521692276000977,281.0,1.0
Mean,,,0.8377253814147018,0.8482684513685707,0.8377253814147018,0.8359831927240486,0.6848424310074281,,,0.9292847503373819,0.7409415121255349,0.7913780011317127,0.90840514698271,0.4560363448398255,0.3847473577977566,20.844268798828125,332.2,1.0
Std,,,0.0075331348760056946,0.007109043789474517,0.0075331348760056946,0.0077413733097682624,0.014627285798742961,,,0.00736698734896418,0.013290516061457475,0.00859846851617933,0.00884783755426194,0.020374309656675967,0.018278617493320742,11.106656416058518,56.69832449023516,0.0
