Dataset,Model,Fold,test_accuracy,test_precision,test_recall,test_f1_score,test_mcc,test_aucroc,test_aucpr,test_sensitivity,test_specificity,test_ppv,test_npv,test_ARI,test_NMI,Inference Time (ms),Stop Epoch,Early Stopping
click-id,sgc,1,0.6633333333333333,0.6879612567918734,0.6633333333333333,0.6218519854149136,0.2980994142292884,0.6754698047801496,0.637860361575742,0.30158730158730157,0.9252873563218391,0.7450980392156863,0.6465863453815262,0.09495396377236981,0.078644233602504,11.908531188964844,500.0,0.0
click-id,sgc,2,0.6566666666666666,0.7156981132075472,0.6566666666666666,0.5952223432702783,0.3008433640493465,0.7105683269476373,0.6641025311279263,0.23015873015873015,0.9655172413793104,0.8285714285714286,0.6339622641509434,0.08315016261328564,0.0896797078456619,13.856172561645508,500.0,0.0
click-id,sgc,3,0.66,0.671,0.66,0.626778868630201,0.2836543144655877,0.7073298668126254,0.6555690983817184,0.3333333333333333,0.896551724137931,0.7,0.65,0.09213965999686084,0.06803086005366234,11.811256408691406,500.0,0.0
click-id,sgc,4,0.65,0.6642196929187992,0.65,0.6089757029684576,0.26101918548499214,0.704775588396278,0.6450573270498486,0.29365079365079366,0.9080459770114943,0.6981132075471698,0.6396761133603239,0.07838635014887899,0.0592319588183993,1.9633769989013672,500.0,0.0
click-id,sgc,5,0.6466666666666666,0.6764341085271318,0.6466666666666666,0.5926851851851852,0.26003590485083394,0.7087894544791096,0.6549279883694655,0.24603174603174602,0.9367816091954023,0.7380952380952381,0.6317829457364341,0.07227655693068936,0.062485697862762216,11.670112609863281,500.0,0.0
Mean,,,0.6553333333333333,0.6830626342890704,0.6553333333333333,0.6091028170938072,0.2807304366160097,0.7013866082831599,0.6515034613009403,0.28095238095238095,0.9264367816091955,0.7419755826859046,0.6404015337258455,0.08418133869241692,0.07161449163659796,10.241889953613281,500.0,0.0
Std,,,0.006912147117775922,0.020208735276578575,0.006912147117775922,0.01530691379614691,0.01956755836249383,0.014642355526035756,0.01018184865232895,0.042220431994509165,0.026771987813453153,0.052937474505742245,0.007852594098903317,0.009430712780832972,0.012502736889064028,4.713736297927094,0.0,0.0
