Dataset,Model,Fold,test_accuracy,test_precision,test_recall,test_f1_score,test_mcc,test_aucroc,test_aucpr,test_sensitivity,test_specificity,test_ppv,test_npv,test_ARI,test_NMI,Inference Time (ms),Stop Epoch,Early Stopping
covid-19,feastconv,1,0.852803738317757,0.8568868836609733,0.852803738317757,0.8527868638179652,0.7097219217555698,0.9421502976190476,0.9404715632180864,0.8125,0.8970588235294118,0.896551724137931,0.8133333333333334,0.4967060141288625,0.4064772350078423,12.248992919921875,144.0,1.0
covid-19,feastconv,2,0.8551401869158879,0.8576334880073198,0.8551401869158879,0.8551908018051555,0.7126488798826681,0.939108455882353,0.9356436113519176,0.8258928571428571,0.8872549019607843,0.8894230769230769,0.8227272727272728,0.503337665463478,0.4085809527913876,6.337404251098633,162.0,1.0
covid-19,feastconv,3,0.866822429906542,0.8681115454590909,0.866822429906542,0.8668944362605572,0.7346737859579967,0.9396774334733894,0.9305780746034944,0.8482142857142857,0.8872549019607843,0.892018779342723,0.8418604651162791,0.5371531984341998,0.4366355715674523,11.463403701782227,126.0,1.0
covid-19,feastconv,4,0.8691588785046729,0.8706626305374322,0.8691588785046729,0.8692274714910401,0.7395946709007551,0.9353882177871149,0.9332497959435126,0.8482142857142857,0.8921568627450981,0.8962264150943396,0.8425925925925926,0.5440476439579897,0.4436419665082282,12.806892395019531,172.0,1.0
covid-19,feastconv,5,0.8808411214953271,0.8809941880668749,0.8808411214953271,0.8808743487722004,0.7613924611889908,0.9434414390756303,0.9396578752522643,0.8794642857142857,0.8823529411764706,0.8914027149321267,0.8695652173913043,0.5791765252137955,0.4728591689633788,3.821849822998047,140.0,1.0
Mean,,,0.8649532710280374,0.8668577471463383,0.8649532710280374,0.8649947844293837,0.7316063439371961,0.939953168767507,0.9359201840738551,0.8428571428571429,0.8892156862745096,0.8931245420860396,0.8380157762321565,0.5320842094396651,0.4336389789676579,9.335708618164062,148.8,1.0
Std,,,0.011374449948259884,0.010004913605777127,0.011374449948259884,0.011388988997164258,0.021205828955547457,0.003107400529259001,0.004196158549501354,0.025528532956242495,0.005589095221074239,0.0031327079867708957,0.021645192566363842,0.0334084013157451,0.027445070782545003,4.014221484142948,18.253766734567417,0.0
