Dataset,Model,Fold,train_accuracy,train_precision,train_recall,train_f1,train_mcc,train_aucroc,train_aucpr,train_sensitivity,train_specificity,train_ppv,train_npv,train_ARI,train_NMI,test_accuracy,test_precision,test_recall,test_f1,test_mcc,test_aucroc,test_aucpr,test_sensitivity,test_specificity,test_ppv,test_npv,test_ARI,test_NMI,Inference Time (ms),Stop Epoch,Early Stopping
fakenewsnet,appnp,1,0.8127994011976047,0.8152318860703145,0.8127994011976047,0.7790076686427134,0.4293715885437593,,,0.3101991550995776,0.9785984471431416,0.827031375703942,0.8113394404555583,0.2682806004660871,0.17964422163758656,0.7775862068965518,0.793214224434076,0.7775862068965518,0.7089711299426772,0.2727523626346573,,,0.1267361111111111,0.992545871559633,0.8488372093023255,0.7748433303491495,0.1161379555682666,0.08652247741882763,15.303850173950195,500.0,0.0
fakenewsnet,appnp,2,0.8047904191616766,0.8046430712764339,0.8047904191616766,0.7673279637460899,0.3973675063235071,,,0.28205128205128205,0.9773021403683425,0.8039552880481513,0.804870050012298,0.24003316565257823,0.15557531518974727,0.7724137931034483,0.7840162359675977,0.7724137931034483,0.6988473305279113,0.2420324006183928,,,0.10590277777777778,0.992545871559633,0.8243243243243243,0.7707034728406055,0.09596693735231634,0.06942317909985303,15.702247619628906,500.0,0.0
fakenewsnet,appnp,3,0.8005239520958084,0.8008703360028847,0.8005239520958084,0.7595832223759488,0.3793234226800117,,,0.2598068799034399,0.9788970734620744,0.8024231127679403,0.8003581020590869,0.22208543673072892,0.14412549770491218,0.7741379310344828,0.7892821672473641,0.7741379310344828,0.7016932328612663,0.25296507695725473,,,0.1111111111111111,0.9931192660550459,0.8421052631578947,0.7718360071301248,0.10175590436541951,0.07575412204556559,15.702009201049805,500.0,0.0
fakenewsnet,appnp,4,0.7986526946107785,0.7979637794093875,0.7986526946107785,0.756866851920773,0.3713219002657422,,,0.25377187688593844,0.9783993629305197,0.7948960302457467,0.7989757762965372,0.21570813372206937,0.13841767538197264,0.771551724137931,0.7843748221127531,0.771551724137931,0.6965531033819866,0.23692479655376775,,,0.10069444444444445,0.9931192660550459,0.8285714285714286,0.7697777777777778,0.0916431031321153,0.06710334138639398,14.542818069458008,500.0,0.0
fakenewsnet,appnp,5,0.8013473053892216,0.801601966655057,0.8013473053892216,0.7610867589424458,0.3828084370791734,,,0.264031382015691,0.9785984471431416,0.8027522935779816,0.8012224938875305,0.22552093996144415,0.14631582217978845,0.7732758620689655,0.7921366174055829,0.7732758620689655,0.6988432686394811,0.24859002422789214,,,0.10416666666666667,0.9942660550458715,0.8571428571428571,0.7706666666666667,0.09648409867397681,0.07426614578089778,15.851974487304688,500.0,0.0
Mean,,,0.8036227544910179,0.8040622078828156,0.8036227544910179,0.7647744931255942,0.39203857097843875,,,0.2739721151911858,0.978359094209444,0.8062116200687525,0.8033531725422023,0.23432565530658156,0.15281570641880143,0.7737931034482759,0.7886048134334748,0.7737931034482759,0.7009816130706645,0.25065293219839296,,,0.10972222222222221,0.9931192660550459,0.8401962164997661,0.7715654509528649,0.10039759981841892,0.07461385314630761,15.42057991027832,500.0,0.0
Std,,,0.005591422575543785,0.006680770463361806,0.005591422575543785,0.008834350037449399,0.02290307056876932,,,0.02283195705633802,0.0006170037119248879,0.012174928739799307,0.004968732963821107,0.020973030587983766,0.016220790592340727,0.0023291820838114547,0.0042757159339924565,0.0023291820838114547,0.004823851146022745,0.013790954474645544,,,0.010226858663210511,0.0007022619675410276,0.013716345180573153,0.0019725800884690323,0.00950251629439206,0.007526408997506151,0.5312090233199644,0.0,0.0
