Dataset,Model,Fold,test_accuracy,test_precision,test_recall,test_f1_score,test_mcc,test_aucroc,test_aucpr,test_sensitivity,test_specificity,test_ppv,test_npv,test_ARI,test_NMI,Inference Time (ms),Stop Epoch,Early Stopping
liar,chebnet,1,0.578125,0.5638674677187948,0.578125,0.5361607142857143,0.09643835651614535,0.5919229574401987,0.6463462896723355,0.8344827586206897,0.24324324324324326,0.5902439024390244,0.5294117647058824,0.0157114610244346,0.007796416309550797,10.076045989990234,36.0,1.0
liar,chebnet,2,0.55078125,0.5366130753025065,0.55078125,0.5345114471227087,0.0544529749705446,0.5151910531220876,0.5740401757577296,0.7172413793103448,0.3333333333333333,0.5842696629213483,0.47435897435897434,0.004384969880843946,0.0022750879036317322,13.549089431762695,39.0,1.0
liar,chebnet,3,0.5390625,0.523990627011371,0.5390625,0.5231504372343903,0.029796266761647497,0.5705498602050326,0.6255363023070823,0.7034482758620689,0.32432432432432434,0.576271186440678,0.45569620253164556,0.00023209613621723928,0.0006804212774583165,4.471302032470703,50.0,1.0
liar,chebnet,4,0.5703125,0.5576536602209945,0.5703125,0.5524549153967939,0.09491661931824856,0.5676918297607954,0.6600658454445173,0.7448275862068966,0.34234234234234234,0.5966850828729282,0.5066666666666667,0.013644098484983193,0.006954749828683855,8.935213088989258,47.0,1.0
liar,chebnet,5,0.51953125,0.5128867903965384,0.51953125,0.5148955273816855,0.008234861143365664,0.518421870146008,0.6021530260066947,0.6206896551724138,0.38738738738738737,0.569620253164557,0.4387755102040816,-0.003098127665042421,5.022494145691974e-05,6.286144256591797,47.0,1.0
Mean,,,0.5515625,0.539002324130041,0.5515625,0.5322346082842586,0.05676781574199034,0.5527555141348246,0.621628327837672,0.7241379310344828,0.3261261261261261,0.5834180175677072,0.4809818236934501,0.0061748995722873115,0.003551380052156324,8.663558959960938,43.8,1.0
Std,,,0.023664267548220246,0.02167503383039645,0.023664267548220246,0.014253289211313894,0.03910675658975752,0.034145675906155686,0.03445145955283093,0.07710579232757896,0.052298829815135096,0.010779477301578291,0.036978940000474504,0.008234754578193797,0.003596271392218345,3.505868023207957,5.974947698515862,0.0
