Dataset,Model,Fold,test_accuracy,test_precision,test_recall,test_f1_score,test_mcc,test_aucroc,test_aucpr,test_sensitivity,test_specificity,test_ppv,test_npv,test_ARI,test_NMI,Inference Time (ms),Stop Epoch,Early Stopping
liar,gcn,1,0.53125,0.5153020632196238,0.53125,0.5150682412553121,0.012731738146475777,0.5400434917676298,0.6299676244176886,0.696551724137931,0.3153153153153153,0.5706214689265536,0.4430379746835443,-0.001978149782420453,0.00012436126787500681,17.3647403717041,68.0,1.0
liar,gcn,2,0.546875,0.516232630051919,0.546875,0.49606330007866695,0.012645312365409556,0.5005902454178317,0.581383963372923,0.8206896551724138,0.1891891891891892,0.569377990430622,0.44680851063829785,-0.0005897940987178845,0.0001374775627966928,2.1131038665771484,62.0,1.0
liar,gcn,3,0.5,0.4967833491012299,0.5,0.4981231231231231,-0.024476433914729864,0.5089158123640882,0.5822003249952356,0.5793103448275863,0.3963963963963964,0.5562913907284768,0.41904761904761906,-0.0043160854991370024,0.00044052308637921325,12.00556755065918,87.0,1.0
liar,gcn,4,0.56640625,0.5379090797244095,0.56640625,0.4165088121298822,0.011890539785434855,0.5407890649269959,0.6210507887317006,0.993103448275862,0.009009009009009009,0.5669291338582677,0.5,0.00043495682967844017,0.0001919759327958153,14.635086059570312,59.0,1.0
liar,gcn,5,0.4921875,0.46099672767116795,0.4921875,0.462872884848281,-0.09057007574149274,0.4666045355700528,0.5788350548450893,0.7034482758620689,0.21621621621621623,0.5396825396825397,0.3582089552238806,-0.0067867877537842545,0.006593739416835452,6.588459014892578,75.0,1.0
Mean,,,0.52734375,0.50544476995367,0.52734375,0.47772727228705303,-0.015555783871780485,0.5113886300093198,0.5986875512725275,0.7586206896551724,0.22522522522522523,0.5605805047252919,0.4334206119186684,-0.002647172060876231,0.001497615453336436,10.541391372680664,70.2,1.0
Std,,,0.03125,0.02880158085440414,0.03125,0.03909891718509225,0.04487624203047855,0.030878073642043317,0.024718018551966314,0.15643167203053454,0.1462403881148462,0.012977319161717746,0.05140019611540576,0.00291982891346456,0.002851684608279592,6.166886251239177,11.211601134539169,0.0
