Dataset,Model,Fold,test_accuracy,test_precision,test_recall,test_f1_score,test_mcc,test_aucroc,test_aucpr,test_sensitivity,test_specificity,test_ppv,test_npv,test_ARI,test_NMI,Inference Time (ms),Stop Epoch,Early Stopping
covid-19,graphsage,1,0.8457943925233645,0.8458645783310553,0.8457943925233645,0.845662584192955,0.6907809650623041,0.9328606442577031,0.9372258909222345,0.8660714285714286,0.8235294117647058,0.8434782608695652,0.8484848484848485,0.47584693646187126,0.3792574118307727,16.063690185546875,277.0,1.0
covid-19,graphsage,2,0.8691588785046729,0.8694023266453172,0.8691588785046729,0.8692046551587428,0.7381037496563095,0.9398634453781513,0.9466389094063484,0.8660714285714286,0.8725490196078431,0.8818181818181818,0.8557692307692307,0.5429730275697682,0.4402305293016909,7.274150848388672,111.0,1.0
covid-19,graphsage,3,0.9018691588785047,0.9020575523623066,0.9018691588785047,0.9017852808500623,0.8033682662986583,0.9480042016806723,0.9489567740714696,0.9196428571428571,0.8823529411764706,0.8956521739130435,0.9090909090909091,0.6443341090708127,0.5372567701975558,5.667924880981445,283.0,1.0
covid-19,graphsage,4,0.8364485981308412,0.8364064261855843,0.8364485981308412,0.8364092097253554,0.6720673372355107,0.9354866946778712,0.9438556010294757,0.8482142857142857,0.8235294117647058,0.8407079646017699,0.8316831683168316,0.4502194671232831,0.35647824697123937,18.851041793823242,97.0,1.0
covid-19,graphsage,5,0.8504672897196262,0.850720541141102,0.8504672897196262,0.850519605895706,0.7006649721198198,0.9338235294117647,0.9382127419839119,0.8482142857142857,0.8529411764705882,0.8636363636363636,0.8365384615384616,0.48891607384146113,0.3912139835437628,40.20047187805176,154.0,1.0
Mean,,,0.8607476635514019,0.8608902849330731,0.8607476635514019,0.8607162671645643,0.7209970580745205,0.9380077030812325,0.9429779834826879,0.8696428571428572,0.8509803921568626,0.8650585889677848,0.8563133236400562,0.5204579228134393,0.42088738836900425,17.6114559173584,184.4,1.0
Std,,,0.025891392854570223,0.025960805306039007,0.025891392854570223,0.025885009799273252,0.0519571419988494,0.00619937034948175,0.005140832214903156,0.02934227986634817,0.02720477828531689,0.023861776888198946,0.031003001099543223,0.07708876127787505,0.071899397640722,13.81759389043555,89.78752697340539,0.0
