Dataset,Model,Fold,test_accuracy,test_precision,test_recall,test_f1_score,test_mcc,test_aucroc,test_aucpr,test_sensitivity,test_specificity,test_ppv,test_npv,test_ARI,test_NMI,Inference Time (ms),Stop Epoch,Early Stopping
mpid,appnp,1,0.7324561403508771,0.7570823441523316,0.7324561403508771,0.7392191577507887,0.436122724040168,,,0.7378640776699029,0.7210884353741497,0.8475836431226765,0.5668449197860963,0.2114598061447785,0.147443346790494,17.083168029785156,212.0,1.0
mpid,appnp,2,0.7675438596491229,0.7593730468672247,0.7675438596491229,0.7597170535767027,0.443510900021582,,,0.8770226537216829,0.5374149659863946,0.799410029498525,0.6752136752136753,0.2631984837086798,0.15736915862575956,23.26798439025879,146.0,1.0
mpid,appnp,3,0.7368421052631579,0.7569029051785666,0.7368421052631579,0.7428209682241018,0.43779883420870885,,,0.7508090614886731,0.7074829931972789,0.8436363636363636,0.574585635359116,0.21875014095819884,0.14835307134275705,15.751361846923828,230.0,1.0
mpid,appnp,4,0.756578947368421,0.762906738975818,0.756578947368421,0.7591175457960053,0.4563899505166209,,,0.7993527508090615,0.6666666666666666,0.8344594594594594,0.6125,0.2536461904205435,0.16151945729416375,18.755674362182617,175.0,1.0
mpid,appnp,5,0.7609649122807017,0.761395388040125,0.7609649122807017,0.7611763489706603,0.45385590816787286,,,0.8220064724919094,0.6326530612244898,0.8246753246753247,0.6283783783783784,0.25966021248523385,0.1603515567894296,11.964082717895508,235.0,1.0
Mean,,,0.750877192982456,0.7595320846428132,0.750877192982456,0.7524102148636518,0.4455356633909905,,,0.7974110032362459,0.653061224489796,0.82995296407847,0.6115045217474532,0.2413429667434869,0.1550073181685208,17.36445426940918,199.6,1.0
Std,,,0.015397797966264911,0.0026362519586378046,0.015397797966264911,0.010502153663244987,0.009214169005844071,,,0.05626788538679493,0.07342528280586019,0.01922959371687359,0.04388068615415194,0.02433101667912607,0.006671577710710346,4.142232587651097,38.109054042313886,0.0
