Dataset,Model,Fold,test_accuracy,test_precision,test_recall,test_f1_score,test_mcc,test_aucroc,test_aucpr,test_sensitivity,test_specificity,test_ppv,test_npv,test_ARI,test_NMI,Inference Time (ms),Stop Epoch,Early Stopping
liar,jknet,1,0.5703125,0.32525634765625,0.5703125,0.41425684079601993,0.0,,,1.0,0.0,0.5703125,0.0,0.0,0.0,4.848718643188477,84.0,1.0
liar,jknet,2,0.4296875,0.18463134765625,0.4296875,0.2582821038251366,0.0,,,0.0,1.0,0.0,0.4296875,0.0,0.0,7.122278213500977,87.0,1.0
liar,jknet,3,0.5859375,0.5739262530193237,0.5859375,0.5665511571761572,0.12395113159307601,,,0.7671232876712328,0.34545454545454546,0.6086956521739131,0.5277777777777778,0.01971254999014518,0.0119524472337572,9.62066650390625,142.0,1.0
liar,jknet,4,0.2265625,0.15196265243902438,0.22656249999999997,0.18191149635036497,-0.09738454446533729,,,0.0,1.0,0.0,0.35365853658536583,0.05003447257564523,0.03374494071936949,1.1734962463378906,113.0,1.0
liar,jknet,5,0.5390625,0.5538985906862746,0.5390625,0.540893965095666,0.08795836371803975,,,0.5068493150684932,0.5818181818181818,0.6166666666666667,0.47058823529411764,-0.0016748925947273334,0.00564297489177318,1.287221908569336,164.0,1.0
Mean,,,0.4703125,0.3579350382914245,0.4703125,0.3923791126486689,0.022904990169155696,,,0.4547945205479452,0.5854545454545456,0.35913496376811593,0.3563424099314522,0.013614425994212614,0.010268072568979974,4.810476303100586,118.0,1.0
Std,,,0.1492984898198907,0.19911090405222304,0.1492984898198907,0.16966866443662829,0.08654639420367939,,,0.45032879295875167,0.43129633539553736,0.3283119368092727,0.20905071901960656,0.022181497709134627,0.014020151686496644,3.6784767832387657,34.763486591537394,0.0
