Dataset,Model,Fold,test_accuracy,test_precision,test_recall,test_f1_score,test_mcc,test_aucroc,test_aucpr,test_sensitivity,test_specificity,test_ppv,test_npv,test_ARI,test_NMI,Inference Time (ms),Stop Epoch,Early Stopping
fakenewsnet,gin,1,0.7514367816091954,0.5646572367551856,0.7514367816091954,0.6447931694530094,0.0,0.7583638192287713,0.5797289183848289,0.0,1.0,0.0,0.7514367816091954,0.0,0.0,28.24687957763672,26.0,1.0
fakenewsnet,gin,2,0.7514367816091954,0.5646572367551856,0.7514367816091954,0.6447931694530094,0.0,0.7655643851059362,0.5748538550955922,0.0,1.0,0.0,0.7514367816091954,0.0,0.0,5.343198776245117,25.0,1.0
fakenewsnet,gin,3,0.7514367816091954,0.5646572367551856,0.7514367816091954,0.6447931694530094,0.0,0.7575017407354193,0.5623930845733484,0.0,1.0,0.0,0.7514367816091954,0.0,0.0,10.556697845458984,27.0,1.0
fakenewsnet,gin,4,0.7600574712643678,0.8181305180742962,0.7600574712643678,0.6646460392982569,0.16213578279742105,0.7462284065915847,0.564801842565394,0.03468208092485549,1.0,1.0,0.7579710144927536,0.03472933641585841,0.03969920199875759,4.698753356933594,49.0,1.0
fakenewsnet,gin,5,0.7916666666666666,0.8074141470698022,0.7916666666666666,0.736927029199824,0.3446722265252515,0.7600437670619702,0.5799092306898649,0.1907514450867052,0.9904397705544933,0.868421052631579,0.7872340425531915,0.1744267315063644,0.12983217400596014,5.417346954345703,55.0,1.0
Mean,,,0.7612068965517241,0.6639032750819311,0.7612068965517241,0.6671905153714218,0.10136160186453451,0.7575404237447364,0.5723373862618056,0.04508670520231214,0.9980879541108987,0.3736842105263158,0.7599030803747062,0.04183121358444456,0.033906275200943546,10.852575302124023,36.4,1.0
Std,,,0.0174318975725323,0.13595104011224649,0.0174318975725323,0.039920480432958594,0.15306541423398423,0.007058539017769579,0.008276076145001001,0.08280233331546813,0.004275464584129629,0.5137985204996117,0.01553825132161492,0.07563325875919619,0.05631217132299525,10.005171489384724,14.415269681833914,0.0
