Dataset,Model,Fold,test_accuracy,test_precision,test_recall,test_f1_score,test_mcc,test_aucroc,test_aucpr,test_sensitivity,test_specificity,test_ppv,test_npv,test_ARI,test_NMI,Inference Time (ms),Stop Epoch,Early Stopping
kaggle,gin,1,0.9376391982182628,0.9380940825791303,0.9376391982182628,0.9375671335339961,0.8753561083348815,0.9717786836349175,0.9679326265739734,0.9158878504672897,0.9574468085106383,0.9514563106796117,0.9259259259259259,0.7658500961613102,0.6658654210208922,13.092517852783203,64.0,1.0
kaggle,gin,2,0.9387527839643652,0.9397670719836573,0.9387527839643652,0.9386386391313876,0.8781050288592284,0.9785344999005767,0.9755184496489632,0.9088785046728972,0.9659574468085106,0.9604938271604938,0.920892494929006,0.7697575255596113,0.6739757501933963,8.031129837036133,72.0,1.0
kaggle,gin,3,0.9398663697104677,0.9400226624467628,0.9398663697104677,0.9398274627952623,0.8795627077165193,0.9686493338635913,0.9615940617000917,0.9252336448598131,0.9531914893617022,0.9473684210526315,0.9333333333333333,0.7736767735790545,0.6727649789117149,6.746530532836914,76.0,1.0
kaggle,gin,4,0.9498886414253898,0.9500230200940802,0.9498886414253898,0.9498600260636832,0.8996449912420761,0.9765236627560152,0.9756880998297036,0.9369158878504673,0.9617021276595744,0.9570405727923628,0.9436325678496869,0.8093862072806706,0.7139494596032309,10.567426681518555,63.0,1.0
kaggle,gin,5,0.9387527839643652,0.9387532326669915,0.9387527839643652,0.9387425047624408,0.8772182450254447,0.9694770332073971,0.9657450731643029,0.9322429906542056,0.9446808510638298,0.9388235294117647,0.9386892177589852,0.769759197287129,0.6672599810677772,11.45482063293457,61.0,1.0
Mean,,,0.9409799554565701,0.9413320139541245,0.9409799554565701,0.9409271532573541,0.88197741623563,0.9729926426724995,0.9692956621834069,0.9238317757009347,0.9565957446808511,0.9510365322193728,0.9324947079593876,0.777685959973555,0.6787631181594023,9.978485107421875,67.2,1.0
Std,,,0.005041973907648904,0.0049201459577320385,0.005041973907648904,0.005057302991192549,0.009993258186872161,0.0043553938464898695,0.006192042097786541,0.011517530414828253,0.00818526981347713,0.008489370145531382,0.009231568281128583,0.017935722497318472,0.019972781135233326,2.5720294332517226,6.457553716385176,0.0
