Dataset,Model,Fold,train_accuracy,train_precision,train_recall,train_f1,train_mcc,train_aucroc,train_aucpr,train_sensitivity,train_specificity,train_ppv,train_npv,train_ARI,train_NMI,test_accuracy,test_precision,test_recall,test_f1,test_mcc,test_aucroc,test_aucpr,test_sensitivity,test_specificity,test_ppv,test_npv,test_ARI,test_NMI,Inference Time (ms),Stop Epoch,Early Stopping
liar,tagconv,1,0.7603138103611524,0.7603385784217179,0.7603138103611524,0.7581036559708313,0.5111864766549438,0.8381023622818067,0.8612210677719974,0.832807570977918,0.6690097799511002,0.7601328903654485,0.7605976372480889,0.27048881088099663,0.2004785459819658,0.6118472330475448,0.6048785309844958,0.6118472330475448,0.5976783856009508,0.18803846418996253,0.5992053674804311,0.6381747538231866,0.7716643741403026,0.4028776978417266,0.6282194848824189,0.5743589743589743,0.04681862233980761,0.02712324656075039,11.463642120361328,23.0,1.0
liar,tagconv,2,0.7561206546733397,0.7558269202147565,0.7561206546733397,0.7541033353564713,0.5025617438815514,0.8294115609772594,0.8531306357580537,0.8252851249696675,0.6690097799511002,0.7584745762711864,0.7524922653832933,0.2618552813513301,0.19317452696076037,0.5939204988308652,0.5844681247634698,0.5939204988308652,0.5766222944014474,0.14671411163944761,0.5778279714605208,0.6350409037205438,0.7675378266850069,0.3669064748201439,0.6131868131868132,0.546916890080429,0.031658854314521534,0.016635432782213886,11.451482772827148,23.0,1.0
liar,tagconv,3,0.7586906533207087,0.7584998665019086,0.7586906533207087,0.756643695342201,0.5078491074747365,0.8319412051932702,0.8534868794616044,0.8284396991021596,0.6708435207823961,0.760187040748163,0.7563749138525155,0.2671436245479683,0.19752728409792517,0.5837879968823071,0.5729656352593668,0.5837879968823071,0.5665206243920282,0.12459851010237581,0.6021765806062165,0.6491447585034129,0.7565337001375516,0.3579136690647482,0.6063947078280044,0.5292553191489362,0.024494052345385257,0.011979313767490271,11.12055778503418,23.0,1.0
liar,tagconv,4,0.7392480389505004,0.7386534501072275,0.7392480389505004,0.7369911759728562,0.46777524220180466,0.8104240996444775,0.8374965474777911,0.8116961902450861,0.6480293308890925,0.7438292194796531,0.732136693130825,0.2283850796378906,0.16635655577326444,0.593141075604053,0.5833901598263295,0.593141075604053,0.5737774550207202,0.14350093366259495,0.5963949610600379,0.633733367819102,0.7757909215955984,0.35431654676258995,0.6110509209100758,0.5472222222222223,0.03078615077553437,0.016024375771326163,26.269912719726562,23.0,1.0
liar,tagconv,5,0.7577765756018393,0.7577971293741951,0.7577765756018393,0.7554923628569014,0.5059736143507065,0.8331327851881738,0.8591057137430737,0.8313516136859985,0.665139016193095,0.7576293675364882,0.758008356545961,0.26522057359446716,0.1962608780265703,0.5892439594699922,0.5798482718542369,0.5892439594699922,0.5754953573769647,0.13961810662235957,0.5908632103945454,0.6420283341164381,0.7455295735900963,0.38489208633093525,0.6131221719457014,0.5363408521303258,0.028754670840403188,0.014877842962094727,12.101173400878906,27.0,1.0
Mean,,,0.7544299465815081,0.7542231889239611,0.7544299465815081,0.7522668450998522,0.4990692369127486,0.8286024026569974,0.8528881688425042,0.825916039796166,0.6644062855533568,0.7560506188801878,0.7519219732321367,0.2586186740025306,0.19075955816809723,0.5943881527669524,0.5851101445375798,0.5943881527669524,0.5780188233584223,0.14849402524334812,0.5932936182003503,0.6396244235965367,0.7634112792297112,0.3733812949640288,0.6143948197506027,0.5468188515881776,0.032502470123130386,0.01732804236877509,14.481353759765625,23.8,1.0
Std,,,0.008621516888907046,0.008852255800517593,0.008621516888907046,0.008665274198325787,0.017770029289203508,0.010642211221478556,0.009292662723958577,0.008455910604530723,0.009388341932948978,0.006919276450789018,0.011444675945108056,0.017187974465259027,0.013891219877357539,0.010552480932861309,0.011930381901433498,0.010552480932861309,0.011672771158790252,0.02367297659142435,0.009599052549231348,0.006209474567244256,0.012302987496560055,0.020292680154774576,0.008206456734335897,0.01715296494799045,0.008467443663719501,0.005760591431916737,6.599564989701295,1.7888543819998317,0.0
