Dataset,Model,Fold,test_accuracy,test_precision,test_recall,test_f1_score,test_mcc,test_aucroc,test_aucpr,test_sensitivity,test_specificity,test_ppv,test_npv,test_ARI,test_NMI,Inference Time (ms),Stop Epoch,Early Stopping
mpid,feastconv,1,0.6776315789473685,0.45918455678670367,0.6776315789473685,0.5474200206398349,0.0,0.802655042599564,0.8943670201081614,1.0,0.0,0.6776315789473685,0.0,0.0,0.0,6.196022033691406,88.0,1.0
mpid,feastconv,2,0.6776315789473685,0.45918455678670367,0.6776315789473685,0.5474200206398349,0.0,0.8002773925104022,0.8956831668696216,1.0,0.0,0.6776315789473685,0.0,0.0,0.0,6.070852279663086,69.0,1.0
mpid,feastconv,3,0.6776315789473685,0.45918455678670367,0.6776315789473685,0.5474200206398349,0.0,0.8002773925104022,0.8927761624151589,1.0,0.0,0.6776315789473685,0.0,0.0,0.0,6.396055221557617,96.0,1.0
mpid,feastconv,4,0.6776315789473685,0.45918455678670367,0.6776315789473685,0.5474200206398349,0.0,0.802456905092134,0.8966575662917806,1.0,0.0,0.6776315789473685,0.0,0.0,0.0,5.168437957763672,78.0,1.0
mpid,feastconv,5,0.7631578947368421,0.7658451603674299,0.7631578947368421,0.7643653250773993,0.46384055511564926,0.8128591242322173,0.9052887424917533,0.8155339805825242,0.6530612244897959,0.8316831683168316,0.6274509803921569,0.26314252883396544,0.1672897304836282,16.00050926208496,163.0,1.0
Mean,,,0.6947368421052632,0.5205166775028489,0.6947368421052632,0.5908090815273478,0.09276811102312985,0.803705171388944,0.8969545316352951,0.9631067961165047,0.13061224489795917,0.7084418968212611,0.12549019607843137,0.052628505766793086,0.03345794609672564,7.966375350952148,98.8,1.0
Std,,,0.03824853119407535,0.13714279112552386,0.03824853119407535,0.09702088962435618,0.20743580239196588,0.005242974536445469,0.004881536966606465,0.0824957117912544,0.2920578582856868,0.06889396517440072,0.2806046089411501,0.11768091644878903,0.07481424185980227,4.515773058091035,37.30549557370871,0.0
