Dataset,Model,Fold,test_accuracy,test_precision,test_recall,test_f1_score,test_mcc,test_aucroc,test_aucpr,test_sensitivity,test_specificity,test_ppv,test_npv,test_ARI,test_NMI,Inference Time (ms),Stop Epoch,Early Stopping
fakenewsnet,graphsage,1,0.8146551724137931,0.8027776193297388,0.8146551724137931,0.7961769325248109,0.445836716778511,0.817391304347826,0.6225783844841634,0.41739130434782606,0.9455587392550143,0.7164179104477612,0.8312342569269522,0.30623043325634064,0.175720036334911,20.246505737304688,76.0,1.0
fakenewsnet,graphsage,2,0.7521551724137931,0.565737403388823,0.7521551724137931,0.6457617593417313,0.0,0.8173414725302105,0.6437853300786012,0.0,1.0,0.0,0.7521551724137931,0.0,0.0,5.901336669921875,41.0,1.0
fakenewsnet,graphsage,3,0.8038793103448276,0.8031931115810018,0.8038793103448276,0.765945020124416,0.3927937412228249,0.8281798928615921,0.6449623199970214,0.2782608695652174,0.9770773638968482,0.8,0.8042452830188679,0.2358812174186243,0.15224949811909913,2.6023387908935547,69.0,1.0
fakenewsnet,graphsage,4,0.7844827586206896,0.779369797859691,0.7844827586206896,0.7319473766518102,0.3054506705207727,0.8342593746106889,0.6263895639707857,0.19130434782608696,0.9799426934097422,0.7586206896551724,0.7862068965517242,0.15980047180584606,0.09803659607124149,13.225793838500977,70.0,1.0
fakenewsnet,graphsage,5,0.8146551724137931,0.8060664401408503,0.8146551724137931,0.7905149607735815,0.4390472803271195,0.8390432291017815,0.6605657101906589,0.3739130434782609,0.9598853868194842,0.7543859649122807,0.8230958230958231,0.29327076645333633,0.176157585199548,6.1969757080078125,72.0,1.0
Mean,,,0.7939655172413793,0.7514288744600209,0.7939655172413793,0.74606920988327,0.3166256817698456,0.8272430546904198,0.6396562617442461,0.25217391304347825,0.9724928366762177,0.6058849130030429,0.7993874864014321,0.19903657778682943,0.12043274314495993,9.634590148925781,65.6,1.0
Std,,,0.02642174578668434,0.10435936835875258,0.02642174578668434,0.06152696010942613,0.18564806481269736,0.009803683506841418,0.015411583754984455,0.16590246981164272,0.020721701698297484,0.3399909992251025,0.03164063701598488,0.12538257827873622,0.07446455823499581,7.083721305577075,14.010710188994702,0.0
