Dataset,Model,Fold,test_accuracy,test_precision,test_recall,test_f1_score,test_mcc,test_aucroc,test_aucpr,test_sensitivity,test_specificity,test_ppv,test_npv,test_ARI,test_NMI,Inference Time (ms),Stop Epoch,Early Stopping
welfake,chebnet,1,0.9015256588072122,0.9015604713786363,0.9015256588072122,0.90153361989863,0.8029473944062202,0.962097591194409,0.9629466750833344,0.9010791366906474,0.9019980970504282,0.9067873303167421,0.8960302457466919,0.6447271675203748,0.5357654237069024,21.478652954101562,51.0,1.0
welfake,chebnet,2,0.9047619047619048,0.9047575033340816,0.9047619047619048,0.9047566073544479,0.8093578421133093,0.9632646879641862,0.9639873457628645,0.9091726618705036,0.9000951474785919,0.9059139784946236,0.9035339063992359,0.6551693119738246,0.546078843511116,14.304876327514648,51.0,1.0
welfake,chebnet,3,0.9047619047619048,0.9051027515438665,0.9047619047619048,0.9047807183110809,0.8097828671496651,0.9630156959113965,0.9648615814705865,0.8947841726618705,0.9153187440532826,0.9178966789667896,0.891566265060241,0.6551694283222664,0.5473228427083665,15.712499618530273,58.0,1.0
welfake,chebnet,4,0.8992140545538604,0.89940316015212,0.8992140545538604,0.8992317253801161,0.7985095288653318,0.9605591454524297,0.9623761092534757,0.8929856115107914,0.9058039961941009,0.9093406593406593,0.8888888888888888,0.6373198152750892,0.5289469381685195,16.577482223510742,55.0,1.0
welfake,chebnet,5,0.8978270920018493,0.8978786413421541,0.8978270920018493,0.897837318328089,0.7955671336683274,0.9627641369302274,0.9651962646571537,0.8965827338129496,0.8991436726926736,0.9038984587488668,0.8915094339622641,0.6328958688368369,0.524106912436655,21.378278732299805,55.0,1.0
Mean,,,0.9016181229773462,0.9017405055501717,0.9016181229773462,0.9016279978544729,0.8032329532405708,0.9623402514905297,0.963873595245483,0.8989208633093526,0.9044719314938154,0.9087674211735361,0.8943057480114642,0.6450563183856783,0.5364441921063119,17.890357971191406,54.0,1.0
Std,,,0.003159380409296325,0.0031943921457812364,0.003159380409296325,0.0031562685216289486,0.006355562668061143,0.0010864747539363116,0.0012083206959478674,0.006472321660232587,0.0065782629942697,0.005464467949118359,0.005761928963555335,0.010153644491088,0.010247555311009408,3.330309312601312,3.0,0.0
