accuracy,precision,recall,f1_score,mcc,aucroc,aucpr,sensitivity,specificity,ppv,npv,ARI,NMI,Inference Time (ms),Fold
0.652,0.6460780554087718,0.652,0.6424253968253969,0.267178844015342,0.6780521995622961,0.6108591158018484,0.46740858505564387,0.7853042479908151,0.6112266112266113,0.6712463199214916,0.08884929306489331,0.05444342260862574,13.262676874796549,1
0.6386666666666667,0.633772666537745,0.6386666666666667,0.6153606666666667,0.22992208506776202,0.6767306916560648,0.615362189654123,0.3640699523052464,0.8369690011481056,0.6172506738544474,0.645704162976085,0.0702844440782696,0.042307356650296765,12.137499809265137,2
0.6446666666666667,0.6476767119904704,0.6446666666666667,0.6114458305807478,0.24363804602716643,0.6569025972011047,0.5957553338457134,0.32114467408585057,0.878300803673938,0.6558441558441559,0.6417785234899329,0.07495908077698982,0.049606360840172094,12.088779608408611,3
0.6373333333333333,0.6316939098994399,0.6373333333333333,0.6319735267913963,0.24158918067278648,0.6689859982221703,0.5924354175449577,0.492845786963434,0.7416762342135477,0.5794392523364486,0.6694300518134715,0.0729058857043678,0.043748420346050726,13.053903261820475,4
0.636,0.6317185935355639,0.636,0.6326941685170037,0.24278878691716507,0.6581145878775378,0.579477541940713,0.5151033386327504,0.7233065442020666,0.5734513274336284,0.6737967914438503,0.07194794636794209,0.04389061257902263,12.085952758789062,5
0.6417333333333334,0.6381879874743982,0.6417333333333334,0.6267799178762423,0.2450233885400444,0.6677572149038348,0.5987779197574711,0.43211446740858506,0.7931113662456946,0.6074424041390583,0.6603911699289663,0.07578932999849253,0.04679923460483359,12.525762462615965,Mean
0.006626545941220907,0.007997034222291272,0.006626545941220907,0.012964051036684045,0.01357958003627468,0.009985275209338009,0.014516036387793458,0.08480193353950956,0.06473015037779228,0.03313918282293504,0.015341000097622586,0.007493767364527141,0.005105342427974957,0.5824753284694495,Std
