Dataset,Model,Fold,test_accuracy,test_precision,test_recall,test_f1_score,test_mcc,test_aucroc,test_aucpr,test_sensitivity,test_specificity,test_ppv,test_npv,test_ARI,test_NMI,Inference Time (ms),Stop Epoch,Early Stopping
covid-19,tagconv,1,0.8317757009345794,0.8368519429414659,0.8317757009345794,0.8316875330629518,0.6687700858193825,0.9228816526610644,0.9272890924152375,0.7857142857142857,0.8823529411764706,0.88,0.7894736842105263,0.43767221019825364,0.3563598823075057,19.130945205688477,280.0,1.0
covid-19,tagconv,2,0.8177570093457944,0.8294892909139079,0.8177570093457944,0.8170753173103166,0.6478995336684134,0.9325980392156863,0.9360172925941899,0.7410714285714286,0.9019607843137255,0.8924731182795699,0.7603305785123967,0.40109810390542944,0.3375678512367618,1.9462108612060547,302.0,1.0
covid-19,tagconv,3,0.8598130841121495,0.8623161884844128,0.8598130841121495,0.859862066263054,0.7220085742667907,0.9449404761904763,0.945465680263812,0.8303571428571429,0.8921568627450981,0.8942307692307693,0.8272727272727273,0.5155935315255606,0.4209320766594701,3.195047378540039,211.0,1.0
covid-19,tagconv,4,0.8177570093457944,0.8347503937834716,0.8177570093457944,0.8165627459884488,0.6533901866677669,0.9339985994397759,0.9393105725670962,0.7232142857142857,0.9215686274509803,0.9101123595505618,0.752,0.4011149274678851,0.34889398618011,12.295246124267578,257.0,1.0
covid-19,tagconv,5,0.8177570093457944,0.8272503689129366,0.8177570093457944,0.8172829473113911,0.6455277880730836,0.9332107843137255,0.9376426380381373,0.75,0.8921568627450981,0.8842105263157894,0.7647058823529411,0.4010912690631883,0.33292934430422416,5.62596321105957,315.0,1.0
Mean,,,0.8289719626168225,0.838131637007239,0.8289719626168225,0.8284941219872323,0.6675192336990874,0.9335259103641457,0.9371450551756947,0.7660714285714285,0.8980392156862745,0.892205354675338,0.7787565744697182,0.43131400843206347,0.35933662813761436,8.438682556152344,273.0,1.0
Std,,,0.018278137584680297,0.014062850832328753,0.018278137584680297,0.018658664699514965,0.031775930932698,0.007822662898771381,0.006568517841001625,0.04253974731989857,0.014868383223630467,0.011594425258716255,0.03050216007652046,0.049703782791075186,0.03564804816751753,7.189521051874913,41.09136162260871,0.0
