Dataset,Model,Fold,test_accuracy,test_precision,test_recall,test_f1_score,test_mcc,test_aucroc,test_aucpr,test_sensitivity,test_specificity,test_ppv,test_npv,test_ARI,test_NMI,Inference Time (ms),Stop Epoch,Early Stopping
mpid,appnp,1,0.8256578947368421,0.8226084056496087,0.8256578947368421,0.82332601067112,0.5925375868503,,,0.8932038834951457,0.6836734693877551,0.8558139534883721,0.7528089887640449,0.41001114675636047,0.2808713887684553,11.453866958618164,266.0,1.0
mpid,appnp,2,0.7467105263157895,0.7920514997170346,0.7467105263157895,0.6906093811345059,0.3827616128245575,,,0.9902912621359223,0.23469387755102042,0.7311827956989247,0.92,0.1695732337097869,0.1566674221807148,11.598587036132812,195.0,1.0
mpid,appnp,3,0.6776315789473685,0.45918455678670367,0.6776315789473685,0.5474200206398349,0.0,,,1.0,0.0,0.6776315789473685,0.0,0.0,0.0,2.1941661834716797,197.0,1.0
mpid,appnp,4,0.6776315789473685,0.45918455678670367,0.6776315789473685,0.5474200206398349,0.0,,,1.0,0.0,0.6776315789473685,0.0,0.0,0.0,3.684520721435547,402.0,1.0
mpid,appnp,5,0.6776315789473685,0.45918455678670367,0.6776315789473685,0.5474200206398349,0.0,,,1.0,0.0,0.6776315789473685,0.0,0.0,0.0,19.045591354370117,283.0,1.0
Mean,,,0.7210526315789474,0.5984427151453507,0.7210526315789474,0.6312390907450262,0.1950598399349715,,,0.9766990291262136,0.1836734693877551,0.7239782972058805,0.334561797752809,0.11591687609322947,0.08750776218983403,9.595346450805664,268.6,1.0
Std,,,0.06568247878537001,0.19099288093467093,0.06568247878537001,0.12399508632151685,0.277202786018264,,,0.04686414907241617,0.2974100335059117,0.07726027431023853,0.46191541189539964,0.1800559713250259,0.12761796110276596,6.8280584760707255,84.4884607505664,0.0
