Dataset,Model,Fold,test_accuracy,test_precision,test_recall,test_f1_score,test_mcc,test_aucroc,test_aucpr,test_sensitivity,test_specificity,test_ppv,test_npv,test_ARI,test_NMI,Inference Time (ms),Stop Epoch,Early Stopping
click-id,appnp,1,0.6633333333333333,0.6593078793078794,0.6633333333333333,0.6596352477595285,0.299072628317521,,,0.5396825396825397,0.7528735632183908,0.6126126126126126,0.6931216931216931,0.10243049105246597,0.06697409267245516,31.343698501586914,492.0,1.0
click-id,appnp,2,0.6633333333333333,0.6740802987861811,0.6633333333333333,0.6654716537285345,0.32775382727113533,,,0.6825396825396826,0.6494252873563219,0.5850340136054422,0.738562091503268,0.10378245200725705,0.07973450942005209,24.074077606201172,408.0,1.0
click-id,appnp,3,0.64,0.6620289855072463,0.64,0.6417307692307692,0.29757513776176114,,,0.7142857142857143,0.5862068965517241,0.5555555555555556,0.7391304347826086,0.07525415691040042,0.06613326575755327,20.2639102935791,331.0,1.0
click-id,appnp,4,0.6866666666666666,0.6860117302052786,0.6866666666666666,0.6863085714285715,0.3554914654271388,,,0.6190476190476191,0.735632183908046,0.6290322580645161,0.7272727272727273,0.1359821097685627,0.09416300424262632,15.829801559448242,353.0,1.0
click-id,appnp,5,0.67,0.6654816824966078,0.67,0.66208,0.3076558648775641,,,0.5,0.7931034482758621,0.6363636363636364,0.6865671641791045,0.11040342308356232,0.07206507749343923,15.360832214355469,327.0,1.0
Mean,,,0.6646666666666666,0.6693821152606387,0.6646666666666666,0.6630452484294808,0.3175097847310241,,,0.6111111111111112,0.7034482758620689,0.6037196152403526,0.7169308221718802,0.1055705265644497,0.07581398991722521,21.37446403503418,382.2,1.0
Std,,,0.016766368453279046,0.010832695239360892,0.016766368453279046,0.01592118456842405,0.02440270015258944,,,0.09118353407203222,0.08393559616991784,0.03337055497696792,0.025281000607665312,0.021681562353672173,0.011597104679625719,6.610860922342909,69.35920991476186,0.0
