Dataset,Model,Fold,train_accuracy,train_precision,train_recall,train_f1,train_mcc,train_aucroc,train_aucpr,train_sensitivity,train_specificity,train_ppv,train_npv,train_ARI,train_NMI,test_accuracy,test_precision,test_recall,test_f1,test_mcc,test_aucroc,test_aucpr,test_sensitivity,test_specificity,test_ppv,test_npv,test_ARI,test_NMI,Inference Time (ms),Stop Epoch,Early Stopping
click-id,jknet,1,0.8013888888888889,0.8056259903671377,0.8013888888888889,0.8023374566385957,0.5990569743709178,0.8825177119295912,0.8251509418228867,0.8087220535467844,0.7960932828383496,0.7412092081963066,0.8521442287177299,0.36315012210606007,0.2791828275810673,0.69,0.6863992117778874,0.69,0.6845605039754271,0.35200753253345196,0.7343623085501927,0.6634063429237905,0.5453100158982512,0.7944890929965557,0.657088122605364,0.7075664621676891,0.14182965522054217,0.09397107432047974,6.450414657592773,34.0,1.0
click-id,jknet,2,0.8216435185185185,0.825802387654232,0.8216435185185185,0.8225005960339971,0.640328988879587,0.8978069650134065,0.8424766517075685,0.833287330941209,0.8132350009966115,0.7631445904954499,0.8710503842869343,0.4136442086971227,0.3227597519358777,0.642,0.6664919076430607,0.642,0.6435063211898564,0.30487147817285154,0.7325479731098695,0.6764979408016787,0.7265500794912559,0.5809414466130884,0.5559610705596107,0.7463126843657817,0.07984291459581033,0.06967745493287192,8.405447006225586,44.0,1.0
click-id,jknet,3,0.8010416666666667,0.8031876870275844,0.8010416666666667,0.8016878325878222,0.5951981547530117,0.8797770164933567,0.8284942814478509,0.7902290919127795,0.8088499103049631,0.7490842490842491,0.842258198422582,0.3622127608528663,0.2748456963035274,0.6953333333333334,0.6919874088177451,0.6953333333333334,0.6899874200360648,0.36335273292451303,0.740913264179287,0.6574407635972052,0.5516693163751988,0.799081515499426,0.6647509578544061,0.7116564417177914,0.1500747950558966,0.10024795930960229,6.139993667602539,34.0,1.0
click-id,jknet,4,0.7978009259259259,0.7999923951572847,0.7978009259259259,0.7984630635568103,0.5886309730244871,0.8730509202743243,0.8180236444198575,0.786640905327077,0.8058600757424755,0.7452928870292888,0.8394933554817275,0.3544482191119128,0.26837577044906247,0.6746666666666666,0.7060219488564384,0.6746666666666666,0.6341987970510835,0.3279960847576436,0.7440582339616579,0.6646861687597803,0.31319554848966613,0.9357060849598163,0.7786561264822134,0.6535685645549318,0.11155526386450146,0.0961931736927442,7.3680877685546875,31.0,1.0
click-id,jknet,5,0.8019675925925925,0.8037335522041806,0.8019675925925925,0.8025346933420107,0.5964580216465383,0.8800067960752666,0.8293730734071594,0.7874102705687466,0.8124750896771622,0.7519114157658845,0.8411388487724366,0.36442019765004646,0.2760505382972749,0.7013333333333334,0.6982854035840298,0.7013333333333334,0.6960268233450843,0.376055643553064,0.7470316267506785,0.685877637968349,0.5580286168521462,0.8048220436280138,0.6737044145873321,0.7160367722165475,0.15960601454228476,0.10756522128029046,13.546466827392578,34.0,1.0
Mean,,,0.8047685185185184,0.8076684024820839,0.8047685185185184,0.8055047284318473,0.6039346225349084,0.8826318819571892,0.8287037185610646,0.8012579304593194,0.8073026719119124,0.7501284701142358,0.8492170031362821,0.3715751016836017,0.28424291691336195,0.6806666666666665,0.6898371761358323,0.6806666666666665,0.6696559731195032,0.3448566943883048,0.7397826813103372,0.6695817708101608,0.5389507154213037,0.78300803673938,0.6660321384177852,0.7070281850045482,0.12858172865580705,0.09353097670719772,8.382081985473633,35.4,1.0
Std,,,0.009571696280414412,0.010337961738358324,0.009571696280414412,0.009641913356453922,0.020704881500073054,0.009180581953651878,0.008900446526515742,0.02005396479839665,0.006929499759415402,0.008316020374351307,0.013167156552895075,0.02383781780061745,0.021888011808414945,0.02377206577290058,0.01495630365052321,0.02377206577290058,0.028600481404011256,0.028503113994835332,0.00620135512810817,0.011433455065610963,0.14724561676970854,0.12748884563400523,0.0789624963686653,0.033556176982576666,0.03265477865326021,0.014303403054480543,3.019018867211597,4.979959839195493,0.0
