Dataset,Model,Fold,test_accuracy,test_precision,test_recall,test_f1_score,test_mcc,test_aucroc,test_aucpr,test_sensitivity,test_specificity,test_ppv,test_npv,test_ARI,test_NMI,Inference Time (ms),Stop Epoch,Early Stopping
click-id,graphsage,1,0.7,0.696875,0.7,0.6958385876418665,0.37482891554381237,0.7535324048734011,0.6891810155348734,0.5714285714285714,0.7931034482758621,0.6666666666666666,0.71875,0.15662053151099684,0.10632547509749844,7.136106491088867,65.0,1.0
click-id,graphsage,2,0.6866666666666666,0.6834042553191491,0.6866666666666666,0.6835099122521937,0.3485122140215511,0.7497820754525735,0.6791184123029887,0.5714285714285714,0.7701149425287356,0.6428571428571429,0.7127659574468085,0.13620433829957615,0.0912526780860392,1.8646717071533203,61.0,1.0
click-id,graphsage,3,0.6866666666666666,0.6830555555555555,0.6866666666666666,0.6823203026481716,0.3466886065690517,0.7369093231162197,0.665188563485067,0.5555555555555556,0.7816091954022989,0.6481481481481481,0.7083333333333334,0.1359153424433303,0.09068444964746303,6.522178649902344,70.0,1.0
click-id,graphsage,4,0.6977777777777778,0.6959103437279333,0.6977777777777778,0.6890785677922959,0.36687783799319046,0.7362403454357477,0.6786522283353431,0.5185185185185185,0.8275862068965517,0.6853146853146853,0.7035830618892508,0.15198489524154862,0.10375902998866642,4.669666290283203,67.0,1.0
click-id,graphsage,5,0.68,0.6760610423265189,0.68,0.6729747899159664,0.32973289766637254,0.7415110786758297,0.6795486184525834,0.5185185185185185,0.7969348659003831,0.6490066225165563,0.6956521739130435,0.12548583678164224,0.08272363380328479,8.990764617919922,61.0,1.0
Mean,,,0.6902222222222222,0.6870612393858313,0.6902222222222222,0.6847444320500988,0.35332809435879564,0.7435950455107543,0.6783377676221711,0.5470899470899471,0.7938697318007663,0.6583986531006399,0.7078169053164872,0.14124218885541884,0.09494905332459039,5.836677551269531,64.8,1.0
Std,,,0.008403409067195115,0.009014431704292615,0.008403409067195115,0.008482186324592163,0.01781775569954616,0.007748610609368962,0.00855353795407031,0.02687497375492126,0.021571936031048657,0.017518950235371374,0.008806226412717317,0.012785900681265597,0.00985329358737122,2.7039525818161225,3.8987177379235853,0.0
