Dataset,Model,Fold,test_accuracy,test_precision,test_recall,test_f1_score,test_mcc,test_aucroc,test_aucpr,test_sensitivity,test_specificity,test_ppv,test_npv,test_ARI,test_NMI,Inference Time (ms),Stop Epoch,Early Stopping
mpid,appnp,1,0.6776315789473685,0.45918455678670367,0.6776315789473685,0.5474200206398349,0.0,,,1.0,0.0,0.6776315789473685,0.0,0.0,0.0,3.386974334716797,165.0,1.0
mpid,appnp,2,0.6776315789473685,0.45918455678670367,0.6776315789473685,0.5474200206398349,0.0,,,1.0,0.0,0.6776315789473685,0.0,0.0,0.0,2.1028518676757812,143.0,1.0
mpid,appnp,3,0.6776315789473685,0.45918455678670367,0.6776315789473685,0.5474200206398349,0.0,,,1.0,0.0,0.6776315789473685,0.0,0.0,0.0,3.752470016479492,203.0,1.0
mpid,appnp,4,0.6776315789473685,0.45918455678670367,0.6776315789473685,0.5474200206398349,0.0,,,1.0,0.0,0.6776315789473685,0.0,0.0,0.0,1.7244815826416016,168.0,1.0
mpid,appnp,5,0.8092105263157895,0.804452537593985,0.8092105263157895,0.8035571355878591,0.5467863806213574,,,0.9029126213592233,0.6122448979591837,0.8303571428571429,0.75,0.36149704233606317,0.2409348442447386,3.381490707397461,232.0,1.0
Mean,,,0.7039473684210527,0.5282381529481599,0.7039473684210527,0.5986474436294398,0.10935727612427149,,,0.9805825242718447,0.12244897959183673,0.7081766917293233,0.15,0.07229940846721264,0.04818696884894772,2.8696537017822266,182.2,1.0
Std,,,0.05884389414473129,0.15440853510783478,0.05884389414473129,0.11454800011689195,0.24453030324808578,,,0.04341879567960755,0.2738042421428314,0.06830094856084884,0.33541019662496846,0.16166639206571132,0.10774933797591191,0.8955957009609155,35.166745655519506,0.0
