Dataset,Model,train_accuracy,train_precision,train_recall,train_f1,train_mcc,train_aucroc,train_aucpr,train_sensitivity,train_specificity,train_ppv,train_npv,train_ARI,train_NMI,test_accuracy,test_precision,test_recall,test_f1,test_mcc,test_aucroc,test_aucpr,test_sensitivity,test_specificity,test_ppv,test_npv,test_ARI,test_NMI,Inference Time (ms),Stop Epoch,Early Stopping
liar,sgc,0.6256698056459331 ± 0.1024701022058851,0.5793434972154543 ± 0.2143926994076402,0.6256698056459331 ± 0.1024701022058851,0.5811323454680891 ± 0.1731702954189188,0.2609043079400526 ± 0.146356856995133,0.7030482501370897 ± 0.0686632295537565,0.7355187594497536 ± 0.0639437629315688,0.6661004610531424 ± 0.3724447416708796,0.5747261621162105 ± 0.2385299956015528,0.5309568412309672 ± 0.2968879321311146,0.640269480086907 ± 0.1106530539760028,0.0925722504620571 ± 0.0523725886305442,0.0663130911765683 ± 0.0375159873285973,0.561028838659392 ± 0.0719994710675639,0.5074744939017715 ± 0.1791412779506261,0.561028838659392 ± 0.0719994710675639,0.4857322173557042 ± 0.1276826911756738,0.1046660440516499 ± 0.0651136470372049,0.6049013883803548 ± 0.0485224985322851,0.6665666670943889 ± 0.0446502646235158,0.6962861072902338 ± 0.390669982051402,0.3841726618705036 ± 0.3491910064529584,0.4775798478380147 ± 0.2671473619624904,0.5465633566506043 ± 0.0662647871568742,0.0215739098919058 ± 0.0147348212374077,0.0123015688499225 ± 0.0088748858242113,31.363916397094727 ± 7.699979776733381,398.6 ± 216.8151286234427,0.4 ± 0.5477225575051662
liar,gcn,0.6906431750625944 ± 0.0049001351899592,0.6901768784992944 ± 0.0043211560649265,0.6906431750625944 ± 0.0049001351899592,0.6851773111562018 ± 0.0063551765465833,0.3662563645908344 ± 0.0103411250842583,0.7521214925589412 ± 0.0045111045601384,0.7807371353280644 ± 0.0066166920705802,0.7976219364231982 ± 0.0134976306577756,0.5559252482151888 ± 0.0244967552103442,0.6936097284369047 ± 0.0084184166681399,0.6858529118153973 ± 0.0067208783307129,0.1444404121447945 ± 0.0076819467143735,0.101730384019594 ± 0.0053640983996147,0.5932969602494155 ± 0.0100179385895929,0.5847981079163209 ± 0.0123174313812935,0.5932969602494155 ± 0.0100179385895929,0.5609534557066171 ± 0.0176238513019039,0.1380860998809421 ± 0.0249302868631761,0.6200887158223902 ± 0.0072054355403469,0.6789170265713227 ± 0.009396879804589,0.8192572214580469 ± 0.0419318050225211,0.297841726618705 ± 0.060199429619689,0.6044995973121788 ± 0.0111233515654963,0.5590373475012331 ± 0.0210927369682277,0.0295066052431303 ± 0.0079760054927558,0.0158643790374764 ± 0.0052925041729083,47.86367416381836 ± 26.951616736714666,73.0 ± 7.7781745930520225,1.0 ± 0.0
liar,graphsage,0.7950602667115861 ± 0.0129219378250479,0.7985821979268646 ± 0.0104921130719622,0.7950602667115861 ± 0.0129219378250479,0.7919884482214743 ± 0.0143830453631432,0.5845251280781097 ± 0.0248955257816153,0.8725732549287274 ± 0.007898651523417,0.889005804903077 ± 0.0062239206581363,0.8812909487988353 ± 0.0131029415556354,0.6864688639434896 ± 0.0415802118514856,0.7803526488175583 ± 0.020640812496554,0.8215384706128764 ± 0.010749450410469,0.3480906895165992 ± 0.0311925687358473,0.2696511743447699 ± 0.0224046650114804,0.6146531566640686 ± 0.0118410781074562,0.6095625793877246 ± 0.0129974369547488,0.6146531566640686 ± 0.0118410781074562,0.5944247486925841 ± 0.0162676823245373,0.1921098705890588 ± 0.0263060773822674,0.6400433435919765 ± 0.010674740458032,0.6829076438774442 ± 0.0115072617075246,0.7988995873452545 ± 0.0413502110274877,0.3737410071942446 ± 0.0539628294031811,0.625562325323126 ± 0.0108858899272328,0.5886420482815434 ± 0.0231623337245643,0.0489458403543783 ± 0.011618623158997,0.0293611672267304 ± 0.008285047916306,39.40253257751465 ± 14.616274934191688,58.4 ± 9.07193474403338,1.0 ± 0.0
liar,chebnet,0.8677733409225061 ± 0.0214799498914933,0.8745255307937887 ± 0.0181218305747029,0.8677733409225061 ± 0.0214799498914933,0.8656851503664637 ± 0.02246562411265,0.7363363759227002 ± 0.0411220695373209,0.949914000629507 ± 0.0088758276164528,0.958509110850062 ± 0.0065741678433397,0.9478767289492842 ± 0.0069091953487499,0.7668963745007122 ± 0.0503213600961736,0.8375076694387346 ± 0.0300974163957552,0.9211432997183472 ± 0.0090035390133879,0.542005298260539 ± 0.0653630090684178,0.4544887242846314 ± 0.0543897027767105,0.6045206547155105 ± 0.0103636914348213,0.597624650583066 ± 0.0114751093129537,0.6045206547155105 ± 0.0103636914348213,0.5885260945441462 ± 0.0101606502305948,0.1723227128642475 ± 0.0209294900507072,0.6211478135235966 ± 0.008429476609185,0.6664433844700944 ± 0.0074868868034428,0.7689133425034388 ± 0.0450363288686242,0.3895683453237409 ± 0.0481698865913647,0.6224623523802775 ± 0.0079596658536554,0.5651480153194457 ± 0.0228744665243514,0.0405862536690778 ± 0.0084042373767124,0.0232091767174605 ± 0.0058160596314416,50.63385963439941 ± 21.70417221920447,49.0 ± 4.06201920231798,1.0 ± 0.0
liar,tagconv,0.7399848148251269 ± 0.0148084221882206,0.7400393195979109 ± 0.0153008472028354,0.7399848148251269 ± 0.0148084221882206,0.7369934438387478 ± 0.0149129434091156,0.4691646904636475 ± 0.0306580455931335,0.8134852096530112 ± 0.0180132896178902,0.8364904901515425 ± 0.0177131461645059,0.8230526571220578 ± 0.0143450588898878,0.6353757161095037 ± 0.0161433746328304,0.7397521920084085 ± 0.0117377226126926,0.7404013233691873 ± 0.0199652490128643,0.2303901997655502 ± 0.0281944525360889,0.1687772179600096 ± 0.0226898888999132,0.6077942322681216 ± 0.0048487392096635,0.6014882359561577 ± 0.0051643239188139,0.6077942322681216 ± 0.0048487392096635,0.5847201445194194 ± 0.0126418325037476,0.1750672313963479 ± 0.0144014443712385,0.6294761164933254 ± 0.0083808156693258,0.6827566582548754 ± 0.0121413803672143,0.8035763411279231 ± 0.0343245634139637,0.3517985611510791 ± 0.0527226965228186,0.6189005343644154 ± 0.009846796766586,0.5787207162748571 ± 0.0085817130280469,0.0420879158002969 ± 0.0051585548662322,0.024305847410838 ± 0.003427556812741,83.94579887390137 ± 42.05753944781432,52.8 ± 4.024922359499621,1.0 ± 0.0
liar,feastconv,0.6842861100030253 ± 0.003161156598255,0.6832906065441177 ± 0.0032402699298078,0.6842861100030253 ± 0.003161156598255,0.6788743632399603 ± 0.0034333032635503,0.3527878226870088 ± 0.0066743444824041,0.7444434295117406 ± 0.0040358792572517,0.7729016081999329 ± 0.0061898933670911,0.791312788158214 ± 0.005040664420733,0.5495057172972613 ± 0.0082974710824582,0.688689780043253 ± 0.0033905518639621,0.6764912382736687 ± 0.004430036121299,0.1348703874992384 ± 0.0046678211176634,0.0941353892918655 ± 0.0035565566927714,0.5957911145752143 ± 0.0092156703063803,0.5875477281051363 ± 0.0114092631234465,0.5957911145752143 ± 0.0092156703063803,0.5647807431761315 ± 0.0161719124943112,0.144070301340722 ± 0.0233684859893086,0.6233481440432248 ± 0.0054653288933626,0.6820499906096686 ± 0.0072206361759227,0.8189821182943604 ± 0.0343961475655746,0.3039568345323741 ± 0.0511563404795967,0.6063938219460031 ± 0.0097178304116876,0.5629054435326362 ± 0.0188199021254687,0.0314931447365611 ± 0.0075421341318157,0.0171242028992463 ± 0.0050975342957391,87.94145584106445 ± 39.792003684191386,101.2 ± 12.676750372236569,1.0 ± 0.0
mpid,feastconv,0.8615766885023717 ± 0.007872318323917,0.8610077031611401 ± 0.0077436437826305,0.8615766885023717 ± 0.007872318323917,0.861246732141991 ± 0.0077908173966524,0.6835224568501348 ± 0.0176104153712561,0.9288343475817176 ± 0.0053516486610805,0.9646241620829776 ± 0.0026368696222998,0.9017324686760996 ± 0.0076156312900237,0.7784786198640921 ± 0.0108704722860949,0.8938843941109518 ± 0.0051938891787913,0.7929716362254711 ± 0.0142806673835116,0.5154769513247202 ± 0.0230907497237442,0.3786295576704395 ± 0.0215595988520802,0.7927679158448389 ± 0.0057013763020851,0.795201680308053 ± 0.0055569917897239,0.7927679158448389 ± 0.0057013763020851,0.79381933388116 ± 0.0055969698374049,0.5308064121958218 ± 0.0126934796500145,0.8691518042716602 ± 0.0031825206443805,0.9384224758991324 ± 0.0016960038139263,0.837439379243453 ± 0.0065640831486667,0.6987755102040817 ± 0.0114176332495504,0.8540221408821133 ± 0.0048226103470604,0.6714386295899795 ± 0.0095884628825641,0.3334579946452643 ± 0.0133882596007713,0.2210575759927599 ± 0.0109614473498222,57.96151161193848 ± 22.03791741209376,148.6 ± 16.133815419794537,1.0 ± 0.0
mpid,graphsage,0.9780438220013554 ± 0.0032367666728869,0.9780649317146894 ± 0.0032560123019241,0.9780438220013554 ± 0.0032367666728869,0.9780518234582792 ± 0.0032450248834779,0.9500626732484564 ± 0.0074129927016531,0.9965745420442668 ± 0.0011683327749801,0.998434743100937 ± 0.0005443621083634,0.9829464516978146 ± 0.0017968823252155,0.9678976820658772 ± 0.0065447504410117,0.9844678179352636 ± 0.0031343438330006,0.964814759055144 ± 0.003796573276138,0.9128589119408586 ± 0.0125418378693591,0.8355235702018151 ± 0.0189398721420908,0.8988823142669297 ± 0.0049724314007071,0.8991705586923839 ± 0.004570648508538,0.8988823142669297 ± 0.0049724314007071,0.8989988721417113 ± 0.0047917255174172,0.7690779331834701 ± 0.0105077812175628,0.9612668500960037 ± 0.001859506245108,0.9823778130955134 ± 0.0008308196614005,0.9233753637245392 ± 0.0071604379535564,0.8473469387755103 ± 0.0039255885840145,0.9271522681471872 ± 0.0017978628704049,0.840294757778298 ± 0.0125600516063045,0.630596952675517 ± 0.0158512283372719,0.4920470162709948 ± 0.0155225789697703,63.03467750549317 ± 25.529901705898244,136.8 ± 9.497368056467012,1.0 ± 0.0
mpid,gin,0.8637000225886604 ± 0.0119665014631615,0.8632754309749189 ± 0.0114181867007542,0.8637000225886604 ± 0.0119665014631615,0.8634238965540588 ± 0.0116756383760075,0.6886506599391395 ± 0.0259480228601828,0.9282773557935828 ± 0.0123295253070161,0.964165305401568 ± 0.0063053100476537,0.9028038612675822 ± 0.0132854278597578,0.7827782278128057 ± 0.0122897912041246,0.8958186074995144 ± 0.0062989427141062,0.7959317219475538 ± 0.023506339941382,0.5220710938625219 ± 0.0344834562618192,0.385239827427318 ± 0.031410979569985,0.7950032873109797 ± 0.006068628933183,0.7973863380028361 ± 0.0062680452852662,0.7950032873109797 ± 0.006068628933183,0.7960290017447481 ± 0.0061217803216453,0.5358061946233077 ± 0.0142972670927708,0.8695969833132089 ± 0.0058488127226571,0.9383821392088024 ± 0.0031970033971519,0.8391852570320077 ± 0.0059554147169772,0.7020408163265307 ± 0.0142857142857142,0.8556459380714578 ± 0.0059541614372966,0.6748033835727358 ± 0.0091568012110829,0.3387840092947674 ± 0.0146896329467443,0.2254451495182289 ± 0.0124937965580698,30.68776130676269 ± 24.097339587927703,55.6 ± 13.24009063413087,1.0 ± 0.0
mpid,appnp,0.817799864468037 ± 0.0057868427369289,0.8146203906884717 ± 0.0063658802332263,0.817799864468037 ± 0.0057868427369289,0.8151895765066216 ± 0.0064875629840074,0.5762496082909843 ± 0.0151923303236112,nan ± nan,nan ± nan,0.8883643099621636 ± 0.0077869046005288,0.6717770427650793 ± 0.0238207711273554,0.8486125826467333 ± 0.0085863041937222,0.7442754907002942 ± 0.0102818061323426,0.3914716805616772 ± 0.015712078420705,0.2650291305370237 ± 0.0137224030215799,0.767258382642998 ± 0.0094820546363287,0.7666319982073824 ± 0.0037878833066266,0.767258382642998 ± 0.0094820546363287,0.7658513544793187 ± 0.0057099423922184,0.4639548469853339 ± 0.0070094125375552,nan ± nan,nan ± nan,0.8366634335596508 ± 0.0349485259787821,0.6212244897959184 ± 0.0445627561272038,0.823417111239092 ± 0.0109743093879545,0.6471514848692344 ± 0.0341437757937257,0.2721213665865102 ± 0.0152930593982729,0.1689397208162632 ± 0.0071648439070959,36.76161766052246 ± 23.455490038321408,297.4 ± 71.62611255680432,1.0 ± 0.0
mpid,chebnet,0.9852496046984414 ± 0.0049910206365397,0.9852559701866768 ± 0.0049956184495262,0.9852496046984414 ± 0.0049910206365397,0.985251088726681 ± 0.0049937869082014,0.9664332242715844 ± 0.011376334593503,0.9980161957098364 ± 0.0010707617213679,0.999066338998066 ± 0.0005145544378968,0.9887428149851843 ± 0.003343870137447,0.9780198886103212 ± 0.0087974193258433,0.9893768929685632 ± 0.0042352410397928,0.9767277763120564 ± 0.0069331020734642,0.941077295516053 ± 0.0196315096041836,0.8809540589891643 ± 0.032324727011913,0.8903353057199211 ± 0.0045645114944667,0.8892566877360195 ± 0.0047329541332939,0.8903353057199211 ± 0.0045645114944667,0.8892424155422777 ± 0.0047537917834941,0.7453274260289581 ± 0.0110390577801331,0.9515103228488292 ± 0.0018983297477543,0.9760157284468288 ± 0.0009660878731431,0.9355965082444228 ± 0.0053390335381271,0.7951020408163265 ± 0.0152447750179453,0.9057722946633028 ± 0.0061509564589188,0.8545065025482055 ± 0.0095908457903176,0.6012178564581095 ± 0.0146675315547053,0.4609531047474396 ± 0.014756169231708,23.476171493530277 ± 6.377081926937682,76.8 ± 4.324349662087931,1.0 ± 0.0
mpid,jknet,0.8653489948046081 ± 0.0053801807938626,0.8647858455104405 ± 0.0048065174253534,0.8653489948046081 ± 0.0053801807938626,0.8649646560334745 ± 0.0049641885624415,0.6920115166147562 ± 0.0107113995300916,0.9305995685195324 ± 0.0035401478663086,0.965346270516657 ± 0.001714329457873,0.9053844079390644 ± 0.0100429563107757,0.7825002343654226 ± 0.0058573747921556,0.8959996587705403 ± 0.0018072987843613,0.8001909107032686 ± 0.0162108872266979,0.5264194034468689 ± 0.0154275190780337,0.3889508138892622 ± 0.0139580630972077,0.7904010519395135 ± 0.0023430019304675,0.7969011127444812 ± 0.0035419919984057,0.7904010519395135 ± 0.0023430019304675,0.7925794307010443 ± 0.0012908454395115,0.5332104104149215 ± 0.0066092300081478,0.8673869237316654 ± 0.0030034229277959,0.9372580255713132 ± 0.0015180378672852,0.823278370514064 ± 0.0186620583043415,0.7212244897959185 ± 0.0332095438478497,0.8617030517443987 ± 0.0114137613787025,0.6605525431344509 ± 0.0139631973148078,0.3294372896738544 ± 0.0037090338879221,0.2230653021907334 ± 0.0056168304031289,24.96929168701172 ± 11.149893005625255,55.0 ± 9.565563234854496,1.0 ± 0.0
mpid,gat,0.8722837135757849 ± 0.0066528302965509,0.871622303110186 ± 0.0071847314789404,0.8722837135757849 ± 0.0066528302965509,0.8718020182261597 ± 0.0069821118756954,0.7074810932765085 ± 0.0164989930878512,0.9387073914244491 ± 0.0049618880039208,0.96952424592837 ± 0.0025154787994375,0.9117164534909988 ± 0.006010044239082,0.7906813183115113 ± 0.022935151803824,0.900238751040931 ± 0.0096590264477689,0.8124033018210302 ± 0.0091881348974657,0.547093009653093 ± 0.020770575625963,0.4086557193285927 ± 0.0209012326485991,0.8011834319526627 ± 0.0051685059847557,0.8038660031921904 ± 0.0050493847873107,0.8011834319526627 ± 0.0051685059847557,0.8022437712452521 ± 0.0048835895095278,0.5504441300837486 ± 0.0113059383014194,0.873955739424771 ± 0.0031831310940229,0.940746201631306 ± 0.0014820837586295,0.8428709990300678 ± 0.0114147451948979,0.7134693877551022 ± 0.0192313779418608,0.860999862936654 ± 0.0070077698780884,0.6836516983012878 ± 0.0123554850849906,0.3538037987953241 ± 0.0122190580828353,0.2384540968722176 ± 0.0103458195619708,45.627546310424805 ± 31.73534390240265,82.2 ± 9.859006035092987,1.0 ± 0.0
mpid,gcn,0.8625705895640389 ± 0.0065484717668347,0.8620073186125052 ± 0.0063797802202342,0.8625705895640389 ± 0.0065484717668347,0.86223638682531 ± 0.0064492551792925,0.6857845755255143 ± 0.0145116875915295,0.9303729677459004 ± 0.0038189128596591,0.965319535807948 ± 0.0019151098543264,0.9025364831641314 ± 0.007158971637935,0.7798654862661862 ± 0.0097025820690209,0.8945683952413731 ± 0.0044430622610722,0.7946246285010197 ± 0.0127068183379349,0.5183305944379228 ± 0.0191586927280433,0.3812796554753082 ± 0.0177922273971787,0.7923734385272847 ± 0.0054692003532111,0.7948330156572545 ± 0.0045981033837705,0.7923734385272847 ± 0.0054692003532111,0.7934447406285116 ± 0.0051270445924018,0.5299757863202299 ± 0.0106796681253595,0.8701524179021755 ± 0.0027011359482878,0.9390334942741386 ± 0.0013516802775647,0.837051406401552 ± 0.0071932090078522,0.6983673469387756 ± 0.003650723228571,0.8537719194202896 ± 0.0021928169297843,0.6708207508007458 ± 0.0101800675768329,0.332536565030503 ± 0.0124318423975523,0.2202897508783279 ± 0.0092430688415319,47.76506423950195 ± 31.120916535822843,116.4 ± 13.069047402163632,1.0 ± 0.0
mpid,tagconv,0.9782245312852949 ± 0.0051189612830017,0.9782750825117906 ± 0.0051193829334738,0.9782245312852949 ± 0.0051189612830017,0.9782413824414632 ± 0.0051199492499515,0.9505282742577792 ± 0.0116567498211836,0.9971625837148016 ± 0.0009808132375392,0.9986899585260256 ± 0.0004909047629117,0.9823432401859636 ± 0.003908444656005,0.9697005170461784 ± 0.0088816599455158,0.985319565869412 ± 0.004269997373934,0.9636976698771734 ± 0.0079912369536264,0.9136269500426916 ± 0.0198372248159143,0.8373251432385317 ± 0.0300064735249055,0.8871794871794872 ± 0.0094088330414192,0.8885652678053114 ± 0.0082741535555838,0.8871794871794872 ± 0.0094088330414192,0.8876741009249599 ± 0.0090210071265622,0.7444612991131444 ± 0.0192952059634765,0.9547619707436809 ± 0.0041931227397074,0.9791042266439404 ± 0.0020124873115549,0.9086323957322988 ± 0.0136894500596526,0.8420408163265307 ± 0.0113260709596013,0.9237019752486502 ± 0.0050440495286401,0.8146347670418782 ± 0.0220432093232052,0.5940023407841014 ± 0.0285442344782679,0.4573982859684292 ± 0.0259190115455528,30.25908470153809 ± 13.802639876959548,150.4 ± 10.039920318408909,1.0 ± 0.0
mpid,sgc,0.8338152247571718 ± 0.007116593247754,0.8309089110382027 ± 0.0075837059046773,0.8338152247571718 ± 0.007116593247754,0.8310521524851364 ± 0.0080919715692105,0.6127517112202403 ± 0.0185275835752057,0.901915912127996 ± 0.0058375337568092,0.949685940352823 ± 0.0032515008291465,0.903575054027046 ± 0.0036429909730784,0.6894567770067088 ± 0.025903570146352,0.8576834390587861 ± 0.0097494606926103,0.7755007481571273 ± 0.0054966585500704,0.4336221017821355 ± 0.0203736424041375,0.3022937325602161 ± 0.0177200998088964,0.785930309007232 ± 0.0020581822278104,0.7814013159385448 ± 0.0011823844171014,0.785930309007232 ± 0.0020581822278104,0.7821688910763033 ± 0.0010675037050222,0.4970481509374577 ± 0.0027370761473925,0.8557518953265107 ± 0.0017056385313338,0.930077900297069 ± 0.0012844922164817,0.8692531522793404 ± 0.0162792637020748,0.6106122448979592 ± 0.0285495543087568,0.8246455541343158 ± 0.007744733082376,0.690411908632749 ± 0.0179411623328256,0.3105279060849004 ± 0.0024235991523379,0.1958044752618392 ± 0.0019847061661328,35.20622253417969 ± 15.084517919500604,500.0 ± 0.0,0.0 ± 0.0
fakenewsnet,graphsage,0.920508982035928 ± 0.0073347564850246,0.9191746878900762 ± 0.0075842284310797,0.920508982035928 ± 0.0073347564850246,0.9189435651698212 ± 0.0080007243413247,0.7811628862919443 ± 0.0216252377401721,0.966626208621754 ± 0.0039489962718088,0.8803062743093001 ± 0.0116979576350131,0.7874584991138649 ± 0.0300618255660378,0.9644030332545948 ± 0.0016121746300436,0.879418158878123 ± 0.0058848884017635,0.9322908085627584 ± 0.0088413295757669,0.6824580942583205 ± 0.0281136790004543,0.5248932365422279 ± 0.0294420534596788,0.8342241379310344 ± 0.0043808882576799,0.8264474035495114 ± 0.0042000018563917,0.8342241379310344 ± 0.0043808882576799,0.8267583161787402 ± 0.0029772218582635,0.5275725243198683 ± 0.0084192956601942,0.8578539118246689 ± 0.0038680328772483,0.7025163128946046 ± 0.0048649575337183,0.5552083333333333 ± 0.0238802067556241,0.9263761467889908 ± 0.0125007890500896,0.7151842620695569 ± 0.0273302120958092,0.8631948631208726 ± 0.0048542020338239,0.388301361117181 ± 0.0086265635325584,0.2341390951566947 ± 0.0092389166621905,58.62622261047363 ± 4.7751780610469,93.0 ± 10.488088481701515,1.0 ± 0.0
fakenewsnet,gcn,0.8636976047904191 ± 0.0385754000536204,0.8622921828722842 ± 0.0376633871298465,0.8636976047904191 ± 0.0385754000536204,0.8491825131893455 ± 0.0551356254801919,0.600754397370176 ± 0.1362940819882244,0.9361757098117044 ± 0.0293582255057101,0.8223252254778904 ± 0.0653582148556767,0.5445606963829123 ± 0.1736063591171303,0.9689820751868432 ± 0.0065123668474469,0.846195039821873 ± 0.0287558123323621,0.8676026582655675 ± 0.0408820135434961,0.4652427306543322 ± 0.1487052601084785,0.3294352815127454 ± 0.1135626931893032,0.8025862068965518 ± 0.01820833735809,0.7976872748171528 ± 0.006320177181867,0.8025862068965518 ± 0.01820833735809,0.7683278694068898 ± 0.0424832136353499,0.3881866851302414 ± 0.088105622166064,0.8277823569699286 ± 0.0084285691631404,0.6372469495820484 ± 0.0119048210892494,0.3190972222222222 ± 0.1288844737031128,0.962270642201835 ± 0.018893326871394,0.755623136207077 ± 0.0575816973333931,0.8115800178443339 ± 0.0245923707951625,0.245250984385577 ± 0.0905210592441499,0.1456273653431429 ± 0.0454888432821108,64.39580917358398 ± 15.94053481532386,169.6 ± 48.236915324261766,1.0 ± 0.0
fakenewsnet,sgc,0.7751946107784431 ± 0.0021742691427223,0.7836472687834156 ± 0.003856382292689,0.7751946107784431 ± 0.0021742691427223,0.7058279140628083 ± 0.0048193794153878,0.2568336789050137 ± 0.0126131658114955,0.8335784058536249 ± 0.0028599317380602,0.662410578219968 ± 0.0084864681462844,0.1216576869826896 ± 0.0108835406008268,0.990802101274902 ± 0.0011277987782836,0.8137325127523327 ± 0.0138048366743734,0.773722052978054 ± 0.0020183679179169,0.1090254525108435 ± 0.0094979307347057,0.0763986683120592 ± 0.0066069270787456,0.7567241379310345 ± 0.0007212586435638,0.773107854186413 ± 0.0046735589907994,0.7567241379310345 ± 0.0007212586435638,0.6592257114555498 ± 0.0021618062008863,0.1172905317629133 ± 0.0086090398969433,0.8105716623662079 ± 0.0039431612538992,0.6348879564020388 ± 0.008338167377352,0.0256944444444444 ± 0.0041449084674699,0.998165137614679 ± 0.0004797362537466,0.8242624661200513 ± 0.020025175124666,0.7562127529973216 ± 0.0007047609603569,0.0238094330557022 ± 0.0036755389928217,0.0188436681521246 ± 0.0025076180335504,62.955522537231445 ± 16.2348736299552,500.0 ± 0.0,0.0 ± 0.0
fakenewsnet,gat,0.881317365269461 ± 0.0627799852937213,0.8822831085765855 ± 0.0574491066419703,0.881317365269461 ± 0.0627799852937213,0.8648963462413715 ± 0.0971231661573293,0.6458584594213513 ± 0.2384110014837885,0.9332797500591278 ± 0.0532750149845738,0.8433917006452745 ± 0.1015561070770773,0.6455761243265237 ± 0.3112298246315171,0.9590871637059868 ± 0.0194209995958096,0.8348324135079066 ± 0.0131900640619133,0.8979382421583957 ± 0.0728500722168725,0.5316833598898015 ± 0.2521148688350385,0.3955107900648521 ± 0.1886911859804193,0.8120689655172413 ± 0.0322153223121634,0.8085507681300157 ± 0.0216679899522045,0.8120689655172413 ± 0.0322153223121634,0.7867168991379161 ± 0.0743676928509374,0.4246505735255612 ± 0.1866871379160233,0.8412181049311925 ± 0.01340581238853,0.6757549713368526 ± 0.0182125415944834,0.4475694444444444 ± 0.2415048498397951,0.9324541284403668 ± 0.0372803445381263,0.7121846113037089 ± 0.0600621165947515,0.8403781226781538 ± 0.0480636066663845,0.29805144806058 ± 0.158751682234454,0.1746932977276225 ± 0.0914886577582164,57.42855072021485 ± 11.977735359159931,99.2 ± 33.19186647358054,1.0 ± 0.0
fakenewsnet,jknet,0.8752844311377246 ± 0.0692957830260762,0.8377656326911028 ± 0.1524356877411528,0.8752844311377246 ± 0.0692957830260762,0.8538137433852672 ± 0.1166971936692101,0.5979421346606203 ± 0.3349050308108518,0.9313821499610851 ± 0.0544140266082953,0.8096605955063907 ± 0.0820629589128094,0.6441868356831615 ± 0.3612555695004958,0.9515217674159296 ± 0.0273533608195814,0.6514106631783405 ± 0.3642676732338292,0.8992434013199722 ± 0.0827969489626047,0.5086462712088353 ± 0.2854779437256789,0.3771776432311672 ± 0.2126475593419592,0.8062068965517242 ± 0.0310518390164257,0.7628611016093139 ± 0.1107206895582731,0.8062068965517242 ± 0.0310518390164257,0.7804638256711669 ± 0.075865798810777,0.3948874785327377 ± 0.2213652974359397,0.8335453698394495 ± 0.0144644622341028,0.6580341306643858 ± 0.0083152543285176,0.4461805555555555 ± 0.2508034687140141,0.9251146788990828 ± 0.0432325760861824,0.5311786673531744 ± 0.2975762666234249,0.8393800707214332 ± 0.0493857031389926,0.2827769439150951 ± 0.1589351506424872,0.1621047708655576 ± 0.091622498597022,66.8917179107666 ± 18.591936842061497,62.4 ± 21.64024029441448,1.0 ± 0.0
fakenewsnet,appnp,0.7991916167664671 ± 0.0334475914236933,0.7657934407369782 ± 0.1138857477339485,0.7991916167664671 ± 0.0334475914236933,0.7472420761113657 ± 0.0651241757047765,0.3345470443600419 ± 0.2026817758938542,nan ± nan,nan ± nan,0.2331151265575632 ± 0.1566694361105184,0.985944295860743 ± 0.0079987880933825,0.6712092004895046 ± 0.3760250673482352,0.796994487660401 ± 0.0317182838504552,0.2056766449053007 ± 0.1394527638222607,0.1424973604294541 ± 0.0998165092981585,0.7754310344827586 ± 0.0190900106791194,0.7582627728099979 ± 0.1086713681615327,0.7754310344827586 ± 0.0190900106791194,0.699189379131074 ± 0.0402399656743226,0.2315779476470264 ± 0.1459945370254846,nan ± nan,nan ± nan,0.1072916666666666 ± 0.0846823676751053,0.9961009174311928 ± 0.0026710584171679,0.7169135200247893 ± 0.4011241085690187,0.7719194067574061 ± 0.0164226528244314,0.1011433860886731 ± 0.0794552390993574,0.081738238939077 ± 0.0625825975416775,43.90625953674317 ± 8.078550794563311,427.0 ± 143.9548540341728,0.4 ± 0.5477225575051662
fakenewsnet,gin,0.8690718562874251 ± 0.0656571407277632,0.8317836192541295 ± 0.148999016300072,0.8690718562874251 ± 0.0656571407277632,0.8477623471011257 ± 0.1131952708154357,0.5820151630173509 ± 0.3256783689032992,0.9249700729653276 ± 0.0466306604997587,0.7707576258496502 ± 0.0591238481505823,0.6360418936619725 ± 0.3560509017333512,0.9459473500048112 ± 0.0303365776654286,0.6361302917769884 ± 0.3556825124800252,0.8963288079429013 ± 0.0809195589811542,0.4876869623342342 ± 0.2731771511040117,0.3550477644739051 ± 0.1993829695794867,0.8081896551724139 ± 0.0322355010315314,0.7658736799785372 ± 0.1123962700262634,0.8081896551724139 ± 0.0322355010315314,0.7834910872052033 ± 0.0775227099680463,0.4039895813940151 ± 0.2263121183947625,0.8328187715022937 ± 0.0137935239856083,0.6488297452872777 ± 0.0085963846044903,0.4625 ± 0.2587929705403148,0.9223623853211008 ± 0.0445822977730438,0.5311115591107469 ± 0.29771884712502,0.8434097932926697 ± 0.051321742259858,0.2909673653057755 ± 0.1634110203102421,0.1688284109060256 ± 0.0953256668945765,58.85691642761231 ± 13.078276540517004,62.4 ± 18.94201678808252,1.0 ± 0.0
