Dataset,Model,train_accuracy,train_precision,train_recall,train_f1,train_mcc,train_aucroc,train_aucpr,train_sensitivity,train_specificity,train_ppv,train_npv,train_ARI,train_NMI,test_accuracy,test_precision,test_recall,test_f1,test_mcc,test_aucroc,test_aucpr,test_sensitivity,test_specificity,test_ppv,test_npv,test_ARI,test_NMI,Inference Time (ms),Stop Epoch,Early Stopping
click-id,gat,0.795625 ± 0.0093429378583927,0.7953564031897895 ± 0.0091847045361106,0.795625 ± 0.0093429378583927,0.7938436553106396 ± 0.0095336730297871,0.5772597631778998 ± 0.0191847862613826,0.8722537383732 ± 0.0070605760057301,0.8306896329221118 ± 0.016910952566085,0.7095058367662396 ± 0.0300424145972087,0.8578088385499664 ± 0.0217552079992848,0.7835692505069904 ± 0.0202534170101125,0.803868041793255 ± 0.0137568717483102,0.3487804002262173 ± 0.0223071952276163,0.2600327124975331 ± 0.0183393736914775,0.6952 ± 0.0120129559689158,0.695914004252319 ± 0.0088518315733947,0.6952 ± 0.0120129559689158,0.6934273837316651 ± 0.0102951819936196,0.3731039319791999 ± 0.017770590778057,0.7410229639378015 ± 0.0024769796980378,0.67585250984174 ± 0.0053087053209994,0.6165341812400637 ± 0.0588170838216569,0.7520091848450058 ± 0.0568631113526511,0.6460636160170241 ± 0.0342296596531455,0.7319138827827443 ± 0.015038767678747,0.1512897323716309 ± 0.0178668467638596,0.1049184419209704 ± 0.0105020821328909,45.7880973815918 ± 16.8939806757256,71.8 ± 10.353743284435827,1.0 ± 0.0
click-id,feastconv,0.7731250000000001 ± 0.0092698868407584,0.7721123782466984 ± 0.0096498146437668,0.7731250000000001 ± 0.0092698868407584,0.7707195914203266 ± 0.0091053921376492,0.5292813453261644 ± 0.0192384569531531,0.8456355574105967 ± 0.0107873144311154,0.7930616969148986 ± 0.0167179710312745,0.671745533970417 ± 0.0061811989174887,0.8463285093734312 ± 0.0116516366724154,0.759550252706617 ± 0.0154234915198077,0.7811833094252861 ± 0.0055126932763699,0.2973707583111731 ± 0.0201714322440088,0.2167450531373168 ± 0.0168581480324539,0.6957333333333333 ± 0.0126455965106874,0.6944840798638017 ± 0.011129381029851,0.6957333333333333 ± 0.0126455965106874,0.6872653985597268 ± 0.0181390496896875,0.3637628027594288 ± 0.0284034455637129,0.7368786494335222 ± 0.0031415731046675,0.6661779420613899 ± 0.0103254290695893,0.5281399046104929 ± 0.0694027407875445,0.8167623421354765 ± 0.037393713866034,0.6774439054653774 ± 0.0215537245888155,0.7067897856004364 ± 0.0210760296146336,0.1504582898748202 ± 0.020701355540499,0.1022092346858662 ± 0.0141538274889444,35.20007133483887 ± 7.585946756488671,118.4 ± 18.063775906493085,1.0 ± 0.0
click-id,jknet,0.7826851851851853 ± 0.0065853328538727,0.7816203254239971 ± 0.0067376359804789,0.7826851851851853 ± 0.0065853328538727,0.7811422041145824 ± 0.0063733828081789,0.5500623487370031 ± 0.0133765992145147,0.8562227326062317 ± 0.0070811787373593,0.8023217654619208 ± 0.0115399042964319,0.6994590972181687 ± 0.0063905152211271,0.8427807550780118 ± 0.0110060670485044,0.762775483879863 ± 0.012564186117551,0.7952277745572041 ± 0.0037791836249673,0.3187627237748794 ± 0.0149533777831221,0.2339576038184934 ± 0.0125092357948838,0.6850666666666667 ± 0.0144883094635333,0.689946878650095 ± 0.0078930436017386,0.6850666666666667 ± 0.0144883094635333,0.685307148827178 ± 0.0122534891261962,0.3609435889615493 ± 0.0173061977013357,0.7377000286570086 ± 0.0022549021499054,0.6693962190448491 ± 0.0086822231627424,0.6527821939586647 ± 0.0527596825977461,0.7083811710677381 ± 0.0616726179595075,0.6212549970747465 ± 0.0332666010887541,0.73955330059142 ± 0.0123630359183997,0.1366036913332152 ± 0.0211101835409576,0.097583720345021 ± 0.0099553584934655,57.330322265625 ± 21.105673162678137,41.8 ± 1.7888543819998317,1.0 ± 0.0
click-id,tagconv,0.8553240740740741 ± 0.0178097886476377,0.8552482148916903 ± 0.0179278541941111,0.8553240740740741 ± 0.0178097886476377,0.8544616953727845 ± 0.0180365919875635,0.7013544482947971 ± 0.0370570620271727,0.927010893319134 ± 0.0162250325499605,0.8929796540411367 ± 0.0264434092558552,0.7925343832953857 ± 0.0274863165425925,0.9006618787473725 ± 0.014499640007428,0.8520904236971903 ± 0.0212660844591554,0.8575287320727434 ± 0.0174001365368338,0.5053520705519376 ± 0.0510897009385952,0.3972600566326243 ± 0.0471642356585751,0.7184 ± 0.0077258584564363,0.7204169835494006 ± 0.0072984578034208,0.7184 ± 0.0077258584564363,0.7183399529803878 ± 0.0067438021262569,0.4245574554182534 ± 0.0142211138351303,0.7682637320916514 ± 0.0056057032957696,0.6973594675265591 ± 0.0067715070895231,0.673449920508744 ± 0.0460033967837069,0.7508610792192882 ± 0.0400687218521587,0.6629453597858651 ± 0.0231658154115826,0.7619206016289227 ± 0.0169625440648668,0.189909311301626 ± 0.0132273668967687,0.1358499182215624 ± 0.0095816257187049,40.234375 ± 17.827423391007315,67.2 ± 10.66302021005306,1.0 ± 0.0
click-id,gin,0.7881250000000001 ± 0.0057222063031661,0.7880121503546398 ± 0.0050196867712996,0.7881250000000001 ± 0.0057222063031661,0.7877412320182963 ± 0.0055110527657712,0.5641993524306208 ± 0.010568404740091,0.8608984613983992 ± 0.0036377004879711,0.8041501896719032 ± 0.0103224145935672,0.7373304153947424 ± 0.0225096570648581,0.8248024393427432 ± 0.0202869019047439,0.7530052698376494 ± 0.0160218793681473,0.8132899334043922 ± 0.009965535377766,0.3315207486696709 ± 0.0131184646885731,0.2457206509175063 ± 0.0097317488202388,0.6679999999999999 ± 0.0275358352374178,0.6824226334676904 ± 0.0098345051619491,0.6679999999999999 ± 0.0275358352374178,0.6680889655069635 ± 0.0284840455753989,0.3408875979463247 ± 0.0280631771439382,0.7346866620791115 ± 0.0030610347084919,0.6682224591842167 ± 0.0080310492004004,0.6868044515103339 ± 0.0711702044057214,0.6544202066590127 ± 0.0975788473163858,0.5951557094581003 ± 0.0417058870314746,0.7454431790498169 ± 0.0180016695607818,0.114193692000102 ± 0.0356309151915613,0.0876410910492906 ± 0.0133297280002471,46.15907669067383 ± 24.048200920215752,43.6 ± 3.646916505762094,1.0 ± 0.0
click-id,appnp,0.7772916666666667 ± 0.0151074700162368,0.7801430407097951 ± 0.0131432093655344,0.7772916666666667 ± 0.0151074700162368,0.7719371890998632 ± 0.0173220210374607,0.5386168007729873 ± 0.0311185444114891,nan ± nan,nan ± nan,0.6311108259352292 ± 0.0467537307362145,0.8828423853120195 ± 0.0148635396632934,0.7958227028507607 ± 0.0144130805215975,0.7688223990309543 ± 0.020362809212216,0.306138763583009 ± 0.0341490740517383,0.2295299916473429 ± 0.0254938915679482,0.6861333333333334 ± 0.0354632830466166,0.7132314302088516 ± 0.0078155902621442,0.6861333333333334 ± 0.0354632830466166,0.6846235377646619 ± 0.0371636688159275,0.3944237993044047 ± 0.0327717518008874,nan ± nan,nan ± nan,0.7538950715421303 ± 0.0926842137911827,0.6371986222732492 ± 0.1273129560537569,0.6102154479797577 ± 0.0592046606738073,0.787625291083823 ± 0.0301378022753218,0.1410820652567247 ± 0.0533737566783257,0.1201980809042617 ± 0.0168622922242613,37.69598007202149 ± 14.490878266375107,390.0 ± 101.05196682895392,0.6 ± 0.5477225575051662
liar,appnp,0.7008682777913781 ± 0.0145886228650942,0.7040555355908087 ± 0.0137896499580253,0.7008682777913781 ± 0.0145886228650942,0.6923204700690705 ± 0.0169087815227544,0.3883915530516373 ± 0.0303426014178666,nan ± nan,nan ± nan,0.8349915069157972 ± 0.0103223048071599,0.5319632288181364 ± 0.0360200893707884,0.6923028909438299 ± 0.0152949622293931,0.7188561861693691 ± 0.0140533704156804,0.1606391755787085 ± 0.0237336867827375,0.1170675896575008 ± 0.0178059154172925,0.5998441153546377 ± 0.0109895911033606,0.6038760975293189 ± 0.0047056197111817,0.5998441153546377 ± 0.0109895911033606,0.5439120362166745 ± 0.0440125873432573,0.1498558520518454 ± 0.0305451068020095,nan ± nan,nan ± nan,0.8839064649243467 ± 0.0511592038889792,0.2284172661870503 ± 0.090537503227721,0.6005205237030703 ± 0.0132713148803813,0.6082636913632806 ± 0.0237071317995094,0.0318474423939936 ± 0.0115624842684574,0.0201455170965911 ± 0.0056716073735316,28.483247756958008 ± 5.665068279525677,359.6 ± 24.306377763870945,1.0 ± 0.0
liar,gin,0.7094977517313913 ± 0.0021451663114344,0.7085259880670863 ± 0.0023873015070074,0.7094977517313913 ± 0.0021451663114344,0.7086180305677916 ± 0.0024747486388385,0.4088033200965754 ± 0.0050847826683032,0.7714400885407378 ± 0.0018986066945197,0.8022998314980392 ± 0.0029466921690292,0.7582625576316427 ± 0.0095201745869365,0.648087206058012 ± 0.0144986451430025,0.7307968745136831 ± 0.0057931890205469,0.6804798609423098 ± 0.004312819793092,0.1751925846103953 ± 0.0036519613704534,0.1250603160293041 ± 0.0030683372017302,0.5830085736554949 ± 0.0065211225762593,0.5744689479256609 ± 0.0069879606079627,0.5830085736554949 ± 0.0065211225762593,0.5694749196476472 ± 0.0114094596383004,0.1289299316671212 ± 0.0155274246686566,0.5999148961436078 ± 0.0099048579895586,0.6540511049296894 ± 0.0168670648165512,0.7292984869325997 ± 0.0561641822511134,0.391726618705036 ± 0.0693134759804104,0.6111706705625852 ± 0.009607243099125,0.5264794652691072 ± 0.0126087771858421,0.0246749057218451 ± 0.0043142801136951,0.0127890357322875 ± 0.0028123696370239,38.480281829833984 ± 16.503564703096036,44.2 ± 5.974947698515862,1.0 ± 0.0
liar,jknet,0.7028429725082258 ± 0.0046349261329931,0.7021508200256226 ± 0.005399181480902,0.7028429725082258 ± 0.0046349261329931,0.7018754039257059 ± 0.0057920621089891,0.395640015271665 ± 0.0118382032729321,0.7662781766112938 ± 0.0066387712182665,0.7971371272810113 ± 0.0076840454511739,0.7510313030817762 ± 0.0185185964846774,0.6421559443531839 ± 0.0328224696383709,0.725955875181613 ± 0.0132697627714477,0.6721735363123651 ± 0.0055874088658365,0.1642570513161833 ± 0.0076773699985621,0.1170468639775564 ± 0.006699888074916,0.5859703819173812 ± 0.0075848733441639,0.5786863849039341 ± 0.0055014909062115,0.5859703819173812 ± 0.0075848733441639,0.5695512047011814 ± 0.0108473178999696,0.1350665992880717 ± 0.0103383652086807,0.6016615043590987 ± 0.0099184302588634,0.6581074283008401 ± 0.0158339914956555,0.7397524071526822 ± 0.0816226960563217,0.3848920863309352 ± 0.0930136119705101,0.6123017467657471 ± 0.0106588664643861,0.5347324854910959 ± 0.0196367175620972,0.0263250476546461 ± 0.0040858497475384,0.014120901883706 ± 0.0021105043965473,51.46842002868652 ± 39.52536213898684,39.0 ± 2.7386127875258306,1.0 ± 0.0
liar,gat,0.6970544258488087 ± 0.0066156923988292,0.6962014842617013 ± 0.0073763365261074,0.6970544258488087 ± 0.0066156923988292,0.693099908460091 ± 0.005796228042004,0.3802329228877942 ± 0.0133569020807886,0.76276131976689 ± 0.0073140908393441,0.7929390900382897 ± 0.0074555392253336,0.7889347245814122 ± 0.021838280865278,0.5813456882532269 ± 0.0179398397628803,0.7036146685589606 ± 0.0049945972630033,0.6868669437599311 ± 0.0166808121796353,0.1546473395403147 ± 0.0104234729478368,0.1092714378833881 ± 0.0084800267484809,0.59423226812159 ± 0.0065118000231349,0.5868995041133936 ± 0.0075735059785763,0.59423226812159 ± 0.0065118000231349,0.5556977851182842 ± 0.0195043743906649,0.1378375259001345 ± 0.0181342824169439,0.6167874778581537 ± 0.0102374375681592,0.676785251911968 ± 0.0156320877870053,0.8396148555708389 ± 0.0359559940180306,0.2733812949640287 ± 0.0539718204608764,0.6020447808792546 ± 0.0078957536045876,0.5670962375508382 ± 0.0146479257082115,0.0292295540602663 ± 0.0060208353606174,0.0159494960072326 ± 0.0036747325108555,38.9859676361084 ± 4.99849536073929,64.0 ± 8.154753215150045,1.0 ± 0.0
