Dataset,Model,Fold,test_accuracy,test_precision,test_recall,test_f1_score,test_mcc,test_aucroc,test_aucpr,test_sensitivity,test_specificity,test_ppv,test_npv,test_ARI,test_NMI,Inference Time (ms),Stop Epoch,Early Stopping
mpid,gat,1,0.7587719298245614,0.7615017693719838,0.7587719298245614,0.76000171998624,0.45390344949513073,0.8277744754859874,0.9093715485427063,0.8122977346278317,0.6462585034013606,0.8283828382838284,0.6209150326797386,0.25642320945894614,0.16004171142815474,16.474246978759766,60.0,1.0
mpid,gat,2,0.7960526315789473,0.792234988021644,0.7960526315789473,0.7934358719692339,0.5232784020285892,0.8414019329414615,0.916099711725634,0.8705501618122977,0.6394557823129252,0.8354037267080745,0.7014925373134329,0.33526864042788607,0.21667423053023935,13.106346130371094,110.0,1.0
mpid,gat,3,0.7631578947368421,0.7668084314311661,0.7631578947368421,0.7647418132781743,0.4658858796804619,0.8323646610747861,0.913400949378183,0.8122977346278317,0.6598639455782312,0.8338870431893688,0.6258064516129033,0.26625020120671467,0.16869298514677805,14.08076286315918,100.0,1.0
mpid,gat,4,0.7850877192982456,0.7812145889125721,0.7850877192982456,0.782561901206918,0.49827890766026633,0.8350395174250931,0.9133079791330309,0.86084142394822,0.6258503401360545,0.8286604361370716,0.6814814814814815,0.3094947511588869,0.19573585136628058,5.181074142456055,74.0,1.0
mpid,gat,5,0.7828947368421053,0.7803674144377337,0.7828947368421053,0.7659538085720631,0.4713920413836944,0.8364264799771042,0.9142854139389187,0.9320388349514563,0.46938775510204084,0.7868852459016393,0.7666666666666667,0.2862474622342934,0.18768893154961366,3.656625747680664,69.0,1.0
Mean,,,0.7771929824561404,0.7764254384350201,0.7771929824561404,0.7733390230025259,0.4825477360496285,0.8346014133808864,0.9132931205436945,0.8576051779935276,0.6081632653061224,0.8226438580439964,0.6792724339508446,0.2907368528973454,0.18576674200421325,10.499811172485352,82.6,1.0
Std,,,0.01570702156093856,0.012284336746948668,0.01570702156093856,0.014100371269405968,0.02796881765777504,0.005034382072995598,0.0024623248688437145,0.04955790560230924,0.07854123753671621,0.020230156382418468,0.06000117154460805,0.032140767389006626,0.022425661486752742,5.710281802454634,21.349473061413015,0.0
