Dataset,Model,Fold,test_accuracy,test_precision,test_recall,test_f1_score,test_mcc,test_aucroc,test_aucpr,test_sensitivity,test_specificity,test_ppv,test_npv,test_ARI,test_NMI,Inference Time (ms),Stop Epoch,Early Stopping
click-id,gin,1,0.6566666666666666,0.6687737232765901,0.6566666666666666,0.6588755244755244,0.3163491274293919,0.7188925378580551,0.6716698208099441,0.6825396825396826,0.6379310344827587,0.5771812080536913,0.7350993377483444,0.09522835266133674,0.07424174559787332,15.25735855102539,35.0,1.0
click-id,gin,2,0.6666666666666666,0.6623263888888888,0.6666666666666666,0.6620428751576293,0.3044781431069106,0.7139436234263822,0.6464423347136159,0.5317460317460317,0.764367816091954,0.6203703703703703,0.6927083333333334,0.10663498788358017,0.06968190255678045,36.71598434448242,35.0,1.0
click-id,gin,3,0.59,0.6320141010575793,0.59,0.5870394641684933,0.22641968301161067,0.7043878854223682,0.6638109573596117,0.746031746031746,0.47701149425287354,0.5081081081081081,0.7217391304347827,0.028050317489208113,0.039029371150608255,17.575979232788086,35.0,1.0
click-id,gin,4,0.6733333333333333,0.6726466275659825,0.6733333333333333,0.67296,0.3280615684034398,0.7188241196861885,0.6639154930955159,0.6031746031746031,0.7241379310344828,0.6129032258064516,0.7159090909090909,0.11670635431617783,0.07996793107646688,34.510135650634766,29.0,1.0
click-id,gin,5,0.6366666666666667,0.6474883286647992,0.6366666666666667,0.638974358974359,0.27371362491810397,0.7105911330049262,0.6703511740782755,0.6507936507936508,0.6264367816091954,0.5578231292517006,0.7124183006535948,0.07167753959595424,0.05526797260335081,60.97817420959473,33.0,1.0
Mean,,,0.6446666666666666,0.656649833890768,0.6446666666666666,0.6439784445552011,0.2898044293738914,0.713327859879584,0.6632379560113926,0.6428571428571429,0.6459770114942529,0.5752772083180645,0.7155748386158292,0.08365951038925142,0.06363778459701594,33.00752639770508,33.4,1.0
Std,,,0.03354930037356302,0.016777677793778773,0.03354930037356302,0.034114753256914696,0.040804679926901566,0.0061025915579671665,0.010057018657035425,0.08093681767607595,0.11081675900257888,0.0454672095305376,0.015428521318825312,0.03531909727833188,0.016517239478936963,18.381843898362945,2.6076809620810595,0.0
