Dataset,Model,Fold,test_accuracy,test_precision,test_recall,test_f1_score,test_mcc,test_aucroc,test_aucpr,test_sensitivity,test_specificity,test_ppv,test_npv,test_ARI,test_NMI,Inference Time (ms),Stop Epoch,Early Stopping
welfake,chebnet,1,0.9070735090152566,0.9071638515487107,0.9070735090152566,0.9070859091102842,0.8141210393419736,0.9626272340833328,0.9585238863644903,0.9037769784172662,0.9105613701236918,0.9144676979071884,0.8994360902255639,0.6626794391707289,0.5539574830953136,28.442859649658203,75.0,1.0
welfake,chebnet,2,0.9052242256125751,0.9052270455683444,0.9052242256125751,0.9052254419942161,0.8103028729283199,0.9645575642245481,0.9627379938774222,0.9073741007194245,0.9029495718363464,0.9081908190819082,0.9020912547528517,0.65666793029527,0.5475954376188856,38.15412521362305,67.0,1.0
welfake,chebnet,3,0.907535829865927,0.9078765106349093,0.907535829865927,0.9075540954476513,0.8153329396851556,0.9646379946470989,0.9619195844671182,0.8974820143884892,0.9181731684110371,0.9206642066420664,0.8943466172381835,0.6641866080917439,0.5564378425599527,29.51669692993164,77.0,1.0
welfake,chebnet,4,0.9079981507165973,0.9080883133565161,0.9079981507165973,0.9080104274275949,0.8159713008225207,0.9624629506670592,0.9634556643912241,0.9046762589928058,0.9115128449096099,0.9153776160145587,0.900375939849624,0.6656954303095405,0.5570077604644351,25.16007423400879,81.0,1.0
welfake,chebnet,5,0.9047619047619048,0.9047773848020225,0.9047619047619048,0.9047665492109936,0.8093976387415964,0.9626952576853838,0.9623230254103541,0.9055755395683454,0.9039010466222646,0.9088447653429603,0.9004739336492891,0.6551693599282594,0.5461313412055051,16.041994094848633,77.0,1.0
Mean,,,0.9065187239944523,0.9066266211821006,0.9065187239944523,0.9065284846381481,0.8130251583039133,0.9633962002614845,0.9617920309021217,0.9037769784172662,0.90941960038059,0.9135090209977363,0.8993447671431026,0.6608797535591086,0.5522259729888184,27.463150024414062,75.4,1.0
Std,,,0.0014398901065554744,0.00153018554527082,0.0014398901065554744,0.0014457775232782726,0.0029906647143359342,0.0011005003219528102,0.001913211706481334,0.0037619605509625923,0.006217434539564039,0.005139210610323932,0.002952599308969387,0.004682759560088168,0.005054449979510073,7.987815677690575,5.176871642217915,0.0
