Dataset,Model,Fold,test_accuracy,test_precision,test_recall,test_f1_score,test_mcc,test_aucroc,test_aucpr,test_sensitivity,test_specificity,test_ppv,test_npv,test_ARI,test_NMI,Inference Time (ms),Stop Epoch,Early Stopping
click-id,appnp,1,0.6133333333333333,0.6046958981612446,0.6133333333333333,0.6035638297872341,0.18490031846984917,,,0.42857142857142855,0.7471264367816092,0.5510204081632653,0.6435643564356436,0.04292659551396699,0.025911097707953006,14.057159423828125,463.0,1.0
click-id,appnp,2,0.62,0.6107118353344769,0.62,0.6049663454554258,0.19343260601574971,,,0.3968253968253968,0.7816091954022989,0.5681818181818182,0.6415094339622641,0.048276957985420095,0.028898329209944132,21.8203067779541,409.0,1.0
click-id,appnp,3,0.5933333333333334,0.5770233050847458,0.5933333333333334,0.5577304236200257,0.11738034001001946,,,0.2698412698412698,0.8275862068965517,0.53125,0.6101694915254238,0.022325356356721674,0.011371967991616098,5.815982818603516,479.0,1.0
click-id,appnp,4,0.56,0.545721958273084,0.56,0.5465263157894737,0.06581157066663586,,,0.3492063492063492,0.7126436781609196,0.46808510638297873,0.6019417475728155,0.005252105495279579,0.0033116719630232497,12.893199920654297,489.0,1.0
click-id,appnp,5,0.6,0.5885714285714285,0.6,0.5854166666666667,0.15032479757189912,,,0.38095238095238093,0.7586206896551724,0.5333333333333333,0.6285714285714286,0.030705178246161854,0.01737493245946332,5.790472030639648,413.0,1.0
Mean,,,0.5973333333333334,0.5853448850849959,0.5973333333333334,0.5796407162637652,0.14236992654683064,,,0.365079365079365,0.7655172413793103,0.5303741332122791,0.6251512916135151,0.029897238719510034,0.017373599866399962,12.075424194335938,450.6,1.0
Std,,,0.02338090388900021,0.025824307724261086,0.02338090388900021,0.026569196921308668,0.052357360359017176,,,0.060442643697332606,0.04269925430116485,0.037898339618759075,0.01858402797103897,0.017124156761762217,0.010481718121716275,6.67532767478594,37.347021300232235,0.0
