Dataset,Model,Fold,test_accuracy,test_precision,test_recall,test_f1_score,test_mcc,test_aucroc,test_aucpr,test_sensitivity,test_specificity,test_ppv,test_npv,test_ARI,test_NMI,Inference Time (ms),Stop Epoch,Early Stopping
liar,gcn,1,0.5625,0.5536311914323963,0.5625,0.5546474358974359,0.08805748979426177,0.6115815691158157,0.6319688200182934,0.684931506849315,0.4,0.6024096385542169,0.4888888888888889,0.0069046771282986795,0.005803809594726035,26.55816078186035,64.0,1.0
liar,gcn,2,0.546875,0.5334445962994112,0.546875,0.5336588541666666,0.04677124568635043,0.4902864259028643,0.5453793101247093,0.6986301369863014,0.34545454545454546,0.5862068965517241,0.4634146341463415,-0.000490972967502586,0.0016647978476982065,32.11498260498047,76.0,1.0
liar,gcn,3,0.578125,0.561600430876421,0.578125,0.5400415264928511,0.09277971448228371,0.5540473225404732,0.5978415933970844,0.821917808219178,0.2545454545454545,0.594059405940594,0.5185185185185185,0.012816506259990907,0.00712544003200099,17.215490341186523,75.0,1.0
liar,gcn,4,0.578125,0.5653447059697059,0.578125,0.5600062963944857,0.10797573618163056,0.5694894146948941,0.5880019577013916,0.7534246575342466,0.34545454545454546,0.6043956043956044,0.5135135135135135,0.014694808737052421,0.009024055046098758,21.224498748779297,59.0,1.0
liar,gcn,5,0.5546875,0.5445498511904762,0.5546875,0.5455480360934183,0.06957064630734379,0.5127023661270236,0.5527610582960132,0.684931506849315,0.38181818181818183,0.5952380952380952,0.4772727272727273,0.003094666137796532,0.0036368012292264914,32.40847587585449,55.0,1.0
Mean,,,0.5640625,0.5517141551536822,0.5640625,0.5467804298089715,0.08103096649037404,0.5476214196762141,0.5831905479074984,0.7287671232876712,0.34545454545454546,0.596461928136047,0.4923216564679979,0.007403937059127191,0.005450980749950095,25.904321670532227,65.8,1.0
Std,,,0.013975424859373685,0.012964465119269332,0.013975424859373685,0.010676149718468754,0.023550441243740814,0.04774160649228138,0.03525892145592216,0.05923766660394425,0.05604012729971799,0.007258684985365542,0.02350127916206247,0.00639533806492368,0.002886242813307122,6.683942870820687,9.418067742376884,0.0
